day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2004-1-14_1,1,6.0,DOLPHIN STAR (CC271),D Boeuf,C H Yip,127,1067,5,1:50.60,13.0
HV_2004-1-14_1,2,5.0,OH GREAT (CB288),F Coetzee,G Lane,129,1088,2,1:51.50,7.4
HV_2004-1-14_1,3,2.0,DRAGON WIN (BV242),A Marcus,P F Yiu,131,1161,3,1:51.60,9.5
HV_2004-1-14_1,4,11.0,WATCH KING (CC023),S Dye,J Size,114,1150,10,1:51.60,8.8
HV_2004-1-14_1,5,4.0,JADE RUYI (BV118),D Whyte,L Ho,129,970,11,1:51.60,3.9
HV_2004-1-14_1,6,8.0,PLEASANT SUCCESS (CA164),W Smith,I W Allan,125,1064,6,1:51.60,37.0
HV_2004-1-14_1,7,1.0,DIVINE FEELING (CA355),G Mosse,D A Hayes,132,1075,9,1:51.70,6.1
HV_2004-1-14_1,8,7.0,LUCKY FRIENDS (CB301),R Fradd,S Woods,127,1073,7,1:51.80,7.5
HV_2004-1-14_1,9,10.0,LEGEND'S GLORY (BV329),D Dunn,S T Wong,116,1164,12,1:52.00,54.0
HV_2004-1-14_1,10,3.0,GIDDY KIPPER (CB303),M W Leung,T W Leung,126,979,4,1:52.20,9.9
HV_2004-1-14_1,11,9.0,GUSCOTT (BS207),T Mundry,B K Ng,122,1118,8,1:52.20,43.0
HV_2004-1-14_1,12,12.0,THE ONLY HERO (CA294),Y T Cheng,D E Ferraris,113,1082,1,1:53.10,14.0
HV_2004-1-14_2,1,4.0,GREAT IDEA (CC178),R Fradd,P F Yiu,124,1079,1,0:57.70,2.5
HV_2004-1-14_2,2,10.0,MASCOT (BT174),M W Leung,K L Man,115,1031,3,0:57.90,21.0
HV_2004-1-14_2,3,6.0,FANTASTICO (CB167),D Whyte,J Moore,122,1124,12,0:58.00,15.0
HV_2004-1-14_2,4,3.0,MELOS (CD032),D Dunn,C H Yip,125,1116,6,0:58.00,10.0
HV_2004-1-14_2,5,5.0,CHOICE AND CHANCE (CA381),T Mundry,L Ho,123,1045,2,0:58.00,7.6
HV_2004-1-14_2,6,8.0,PRESENT TREASURE (CC077),D Boeuf,K W Lui,121,1042,5,0:58.40,29.0
