day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2021-1-13_1,1,9.0,VICTORIOUS SEEKER (C091),C Schofield,P O'Sullivan,119,1116,10,10 11 11 9 1 1,2:16.53,21.0
HV_2021-1-13_1,2,11.0,EXALTATION (C370),J Moreira,A S Cruz,116,1048,6,8 8 8 8 2 2,2:16.58,3.0
HV_2021-1-13_1,3,4.0,DYNAMIC EAGLE (B072),A Badel,C S Shum,127,1222,3,4 2 3 3 6 3,2:16.89,4.5
HV_2021-1-13_1,4,6.0,MAGNETISM (V114),K Teetan,D E Ferraris,123,1175,4,6 6 6 6 8 4,2:16.93,14.0
HV_2021-1-13_1,5,10.0,PERFECT TO PLAY (B095),T Piccone,C Fownes,118,1048,2,5 5 5 5 9 5,2:17.06,8.3
HV_2021-1-13_1,6,7.0,BULLISH GLORY (A118),M L Yeung,C W Chang,122,1146,9,11 10 9 11 11 6,2:17.24,47.0
HV_2021-1-13_1,7,2.0,PEACH BLOSSOMS (D202),H W Lai,D J Hall,131,1104,11,3 4 4 4 3 7,2:17.34,83.0
HV_2021-1-13_1,8,8.0,GREAT TIMES (D301),C L Chau,K L Man,114,955,1,7 7 7 7 10 8,2:17.37,53.0
HV_2021-1-13_1,9,5.0,OWNERS' STAR (B427),A Hamelin,C S Shum,127,1118,5,2 3 2 2 4 9,2:17.65,8.5
HV_2021-1-13_1,10,3.0,FULL POWER (C426),N Callan,R Gibson,130,1092,8,1 1 1 1 5 10,2:19.57,14.0
HV_2021-1-13_1,11,1.0,MORE THAN A HORSE (D141),Z Purton,D J Whyte,133,1093,7,9 9 10 10 7 11,2:22.00,5.5
HV_2021-1-13_2,1,12.0,UNIVERSAL GO GO (B132),M F Poon,K W Lui,117,1119,4,4 5 1,1:10.66,4.9
HV_2021-1-13_2,2,10.0,DAILY BEAUTY (D070),J Moreira,C Fownes,123,1178,5,9 9 2,1:10.78,2.4
HV_2021-1-13_2,3,3.0,GLUCK RACER (E157),A Badel,K L Man,126,1080,3,10 10 3,1:10.86,11.0
HV_2021-1-13_2,4,8.0,PEAK TO PEAK (D472),K Teetan,F C Lor,125,1085,8,1 1 4,1:10.90,9.1
HV_2021-1-13_2,5,2.0,HELAKU KNIGHT (C328),B Shinn,D A Hayes,128,1116,11,8 8 5,1:11.06,25.0
HV_2021-1-13_2,6,11.0,STAR SUPERIOR (V255),H N Wong,C W Chang,116,1084,2,7 7 6,1:11.13,26.0
HV_2021-1-13_2,7,7.0,FOCUS (C254),K C Leung,P F Yiu,125,1067,12,3 3 7,1:11.23,55.0
HV_2021-1-13_2,8,6.0,MUDITA (E085),N Callan,P O'Sullivan,126,1110,9,6 6 8,1:11.63,107.0
HV_2021-1-13_2,9,1.0,BULLISH BROTHER (C034),C L Chau,A S Cruz,126,1144,1,5 4 9,1:11.81,10.0
HV_2021-1-13_2,10,9.0,SKY CHAMPION (E010),H T Mo,Y S Tsui,121,1274,7,11 11 10,1:11.88,59.0
HV_2021-1-13_2,11,5.0,HAPPY PROFIT (E160),Z Purton,C S Shum,126,1050,10,2 2 11,1:12.29,5.8
HV_2021-1-13_2,12,4.0,GOOD BUDDY (E097),H W Lai,D J Hall,126,1228,6,12 12 12,1:15.80,215.0
HV_2021-1-13_3,1,10.0,BABY STORM (C500),J Moreira,L Ho,126,1077,3,5 4 4 1,1:41.29,2.3
HV_2021-1-13_3,2,12.0,FAIRY FLOSS (C236),K C Leung,P O'Sullivan,117,1099,11,11 11 12 2,1:41.40,11.0
HV_2021-1-13_3,3,7.0,VIRTUS STAR (B395),A Badel,F C Lor,130,1095,7,7 8 7 3,1:41.57,4.6
HV_2021-1-13_3,4,2.0,GO BALLISTIC (C493),K Teetan,D E Ferraris,133,1176,12,12 12 10 4,1:41.85,10.0
HV_2021-1-13_3,5,5.0,BULB ELITE (A183),A Hamelin,C H Yip,130,1180,5,2 2 1 5,1:42.11,8.0
HV_2021-1-13_3,6,3.0,MANY GAINS (C515),V Borges,K L Man,133,1027,1,4 5 6 6,1:42.18,55.0
HV_2021-1-13_3,7,4.0,BIG BANG BONG (V186),N Callan,C W Chang,131,1084,10,9 9 8 7,1:42.29,17.0
HV_2021-1-13_3,8,9.0,WONDERFUL TIGER (A235),C Schofield,W Y So,127,1096,4,8 7 9 8,1:42.34,9.1
HV_2021-1-13_3,9,6.0,CENTENARY IBIS (D163),C L Chau,D J Whyte,123,1065,9,10 10 11 9,1:42.74,77.0
HV_2021-1-13_3,10,1.0,AFRICAN SKY (C195),M L Yeung,T P Yung,133,1119,2,1 1 2 10,1:42.87,186.0
HV_2021-1-13_3,11,8.0,FOR FUN'S SAKE (D242),T Piccone,C Fownes,127,1047,8,6 6 5 11,1:42.89,18.0
HV_2021-1-13_3,12,11.0,GLORIOUS BUDDY (C405),B Shinn,D J Hall,125,1041,6,3 3 3 12,1:43.28,171.0
HV_2021-1-13_4,1,7.0,GALLANT CROWN (D359),K Teetan,A T Millard,124,1065,10,1 3 4 1,1:40.92,8.8
HV_2021-1-13_4,2,3.0,BRAVE KING (D132),K H Chan,A S Cruz,123,1120,7,11 11 1 2,1:41.01,17.0
HV_2021-1-13_4,3,10.0,KING DRAGON (C437),J Moreira,K L Man,120,1096,3,6 7 9 3,1:41.05,2.8
HV_2021-1-13_4,4,1.0,ZHAN JIANG ROCKS (B406),T Piccone,W Y So,133,1075,8,8 6 5 4,1:41.10,14.0
HV_2021-1-13_4,5,4.0,METHANE (C469),N Callan,D E Ferraris,130,1081,9,9 9 10 5,1:41.10,10.0
HV_2021-1-13_4,6,6.0,MONSTER KAKA (B319),M F Poon,D J Hall,125,1024,5,4 5 6 6,1:41.17,15.0
HV_2021-1-13_4,7,9.0,HAPPY WIN WIN (C125),Z Purton,C H Yip,120,1037,4,10 10 7 7,1:41.36,3.9
HV_2021-1-13_4,8,2.0,ALL YOU KNOW (A320),C L Chau,R Gibson,123,1108,1,3 4 8 8,1:41.42,7.7
