day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2024-1-10_1,1,8.0,MODEST GENTLEMAN (G352),A Atzeni,K W Lui,128,1058,1,6 3 1,0:58.01,4.2
HV_2024-1-10_1,2,7.0,HAPPY TANGO (D075),L Hewitson,Y S Tsui,128,1236,4,9 5 2,0:58.16,6.4
HV_2024-1-10_1,3,2.0,AUGUST MOON (D409),Y L Chung,J Richards,126,1146,7,4 6 3,0:58.30,12.0
HV_2024-1-10_1,4,3.0,MULTIMORE (D443),E C W Wong,T P Yung,121,1262,9,1 4 4,0:58.44,11.0
HV_2024-1-10_1,5,1.0,HAPPY HORSE (H061),H Bowman,K L Man,135,1107,3,2 1 5,0:58.65,3.4
HV_2024-1-10_1,6,4.0,MAGIC TRAVELLER (H102),M Chadwick,W Y So,130,1102,6,8 9 6,0:58.75,56.0
HV_2024-1-10_1,7,6.0,GOODMANSHIP (E208),K Teetan,D J Whyte,128,1180,5,7 8 7,0:58.76,3.8
HV_2024-1-10_1,8,5.0,FINGERS CROSSED (G403),K De Melo,M Newnham,129,1265,2,3 2 8,0:58.85,17.0
HV_2024-1-10_1,9,9.0,PERFECT ROCK (G175),H T Mo,Y S Tsui,113,1102,8,5 7 9,0:58.97,40.0
HV_2024-1-10_2,1,2.0,SIMPLY MAVERICK (H346),C Y Ho,P F Yiu,133,1207,7,2 2 2 1,1:40.49,1.3
HV_2024-1-10_2,2,1.0,LOVERO (H451),Y L Chung,A S Cruz,130,1127,1,3 3 3 2,1:40.81,40.0
HV_2024-1-10_2,3,5.0,FEARLESS FIRE (B085),K Teetan,D A Hayes,124,1188,5,1 1 1 3,1:41.13,10.0
HV_2024-1-10_2,4,7.0,CLUB SODA (H312),A Atzeni,J Size,122,1140,4,4 4 4 4,1:41.23,25.0
