day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2006-1-11_1,1,10.0,CAPABEL (CD195),C Munce,P O'Sullivan,118,1069,12,1:42.20,12.0
HV_2006-1-11_1,2,7.0,LUCKY ENCOUNTER (CC143),C Soumillon,J Moore,121,1001,4,1:42.30,3.5
HV_2006-1-11_1,3,5.0,BAYVIEW LAD (CC148),S Dye,C S Shum,125,1078,11,1:42.30,15.0
HV_2006-1-11_1,4,8.0,MILLENNIUM SUPREME (BV228),Y T Cheng,B K Ng,118,1171,2,1:42.40,14.0
HV_2006-1-11_1,5,12.0,WAVY PEAK (CD083),H K Yim,T W Leung,116,1115,3,1:42.40,46.0
HV_2006-1-11_1,6,6.0,NOBLE VICTORY (CC022),F Coetzee,C Fownes,125,998,9,1:42.60,19.0
HV_2006-1-11_1,7,4.0,JUSTINIAN (CB324),G Schofield,D E Ferraris,129,1070,1,1:42.80,7.1
HV_2006-1-11_1,8,2.0,A BETTER DRAGON (CC329),D Whyte,K L Man,129,1124,8,1:42.90,7.4
HV_2006-1-11_1,9,11.0,THE FACULTY (CB414),R Fradd,C W Chang,118,1064,7,1:43.20,13.0
HV_2006-1-11_1,10,1.0,ATHLETIC GOLD (CC241),G Mosse,S Woods,130,971,10,1:43.40,19.0
HV_2006-1-11_1,11,9.0,KID GALAXY (CB455),A Delpech,A T Millard,119,1106,5,1:43.40,4.7
HV_2006-1-11_1,DNF,3.0,EXCELLENT DAY (CE166),K S Yu,A Lee,126,1089,6,---,40.0
HV_2006-1-11_2,1,11.0,HORACE'S HORSE (CB043),S Dye,C Fownes,120,1166,3,0:58.00,4.7
HV_2006-1-11_2,2,2.0,THUNDER STORM (CA226),Y T Cheng,B K Ng,127,1127,6,0:58.00,20.0
HV_2006-1-11_2,3,9.0,FORTUNE MAPLE (CA385),E Saint-Martin,D E Ferraris,123,1148,1,0:58.00,12.0
HV_2006-1-11_2,4,8.0,CONSTELLATION (CE025),C Soumillon,J Moore,123,1186,4,0:58.10,2.7
HV_2006-1-11_2,5,7.0,WYNDAM PLENTY (CD356),A Delpech,C W Chang,127,1098,12,0:58.20,7.8
HV_2006-1-11_2,6,6.0,WISDOM EXPRESS (CB377),B Prebble,A T Millard,127,1094,9,0:58.30,16.0
HV_2006-1-11_2,7,12.0,FREE WAY (CC279),O Doleuze,C H Yip,119,1082,7,0:58.30,34.0
HV_2006-1-11_2,8,4.0,SILLY BOY (CC094),G Schofield,C S Shum,128,1218,5,0:58.30,7.7
HV_2006-1-11_2,9,3.0,TURF GOLD (CD342),H W Lai,L Ho,122,1059,2,0:58.30,25.0
HV_2006-1-11_2,10,1.0,HEALTHY FRUITS (CC193),D Whyte,K L Man,129,1026,11,0:58.60,12.0
HV_2006-1-11_2,11,10.0,FLASH MAC (CB220),C Munce,D Oughton,122,1110,10,0:59.10,38.0
HV_2006-1-11_2,12,5.0,RARE COLLECTION (BV102),K S Yu,Y O Wong,124,1151,8,0:59.60,99.0
HV_2006-1-11_3,1,2.0,DR POSSI (CE288),D Whyte,C H Yip,130,1141,7,1:10.70,1.9
HV_2006-1-11_3,2,10.0,HAPPY SUNDAY (CE169),G Mosse,A Lee,120,1071,5,1:10.80,12.0
HV_2006-1-11_3,3,4.0,EUPHORIC KID (CB165),B Prebble,D J Hall,127,1065,4,1:11.00,14.0
HV_2006-1-11_3,4,6.0,RED STORM RISING (CE007),C Munce,P O'Sullivan,127,1093,11,1:11.10,20.0
