day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
ST_2001-1-14_1,1,7.0,IRON TYCOON (BS093),S Dye,S T Wong,133,1094,7,2:05.10,5.2
ST_2001-1-14_1,2,1.0,FLIGHT OF FANCY (BV069),K C Tsang,L Fownes,132,1048,12,2:05.40,6.3
ST_2001-1-14_1,3,13.0,FIVE STARS SHINING (BP256),R Fradd,W L Wong,118,1029,4,2:05.70,18.0
ST_2001-1-14_1,4,4.0,PLENTY SUCCESS (BN042),F Coetzee,D Oughton,136,1124,9,2:05.80,11.0
ST_2001-1-14_1,5,6.0,JUMBO LUCK (BT111),S King,K W Lui,134,1068,8,2:06.00,8.6
ST_2001-1-14_1,6,9.0,STORM BOY (BS288),C Brown,P F Yiu,130,1064,6,2:06.00,13.0
ST_2001-1-14_1,7,3.0,GOOD JOB (BV035),W C Marwing,T K Ng,136,1174,5,2:06.20,4.6
ST_2001-1-14_1,8,10.0,HEALTHY STAR (BN151),K S Yu,T P Wong,127,1105,11,2:06.40,21.0
ST_2001-1-14_1,9,12.0,CHAMPION RANGER (BT149),G Mosse,P C Kan,121,1026,14,2:06.40,17.0
ST_2001-1-14_1,10,8.0,CHIEF'S FORTUNE (BS222),E Saint-Martin,L Ho,132,1008,1,2:06.40,9.6
ST_2001-1-14_1,11,5.0,WINNING TOUCH (BN256),E Legrix,Y O Wong,135,1059,3,2:06.50,24.0
ST_2001-1-14_1,12,2.0,POWER HOUSE (BV314),C H Tse,A S Cruz,130,1111,2,2:06.60,61.0
ST_2001-1-14_1,13,11.0,BEETLE (BT196),J Egan,B K Ng,120,983,13,2:06.60,31.0
ST_2001-1-14_1,14,14.0,SUPREME PARTNERS (BT214),Y T Cheng,I W Allan,110,1097,10,2:06.90,46.0
ST_2001-1-14_10,1,5.0,HAPPY MOMENTUM (BV264),W C Marwing,A T Millard,126,1170,4,1:35.70,6.9
ST_2001-1-14_10,2,2.0,SHAXI FORTUNE (BT096),J Egan,K W Lui,132,1143,14,1:35.80,9.4
ST_2001-1-14_10,3,4.0,RED SUN (CA046),F Coetzee,A S Cruz,129,1092,5,1:35.80,10.0
ST_2001-1-14_10,4,10.0,ASIA RISING (BT270),E Saint-Martin,Y O Wong,118,1084,9,1:35.80,7.5
ST_2001-1-14_10,5,7.0,FIBBER (BV076),M de Montfort,T W Leung,123,1051,12,1:35.80,6.3
ST_2001-1-14_10,6,12.0,MIGHTY DRAGON (CA101),R Fradd,L Ho,117,1028,13,1:35.80,9.6
ST_2001-1-14_10,7,6.0,HORSE OF FAME (BS182),D Bonilla,P F Yiu,125,1089,2,1:36.20,34.0
