day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2015-1-14_1,1,4.0,GO SANDY GO (S021),N Rawiller,D J Hall,128,1146,5,7 7 6 6 1,1:50.50,6.3
HV_2015-1-14_1,2,1.0,NAMJONG TURBO (N250),K C Leung,P O'Sullivan,131,1080,7,4 5 4 4 2,1:50.82,5.6
HV_2015-1-14_1,3,12.0,HIGH SPEED METRO (P293),K Teetan,S Woods,113,1129,9,11 11 11 10 3,1:50.93,16.0
HV_2015-1-14_1,4,8.0,SMART GUY (M377),J Moreira,L Ho,122,940,1,6 6 7 7 4,1:50.94,4.0
HV_2015-1-14_1,5,9.0,CAPTAIN AMERICA (P074),M Guyon,D E Ferraris,118,1146,8,8 8 8 8 5,1:50.97,32.0
HV_2015-1-14_1,6,10.0,PERFECT TRIUMPH (P241),M Demuro,T K Ng,116,1069,4,3 4 5 5 6,1:50.98,11.0
HV_2015-1-14_1,7,5.0,MY CUP OVERFLOWS (P378),U Rispoli,R Gibson,127,1121,11,1 3 3 3 7,1:51.07,40.0
HV_2015-1-14_1,8,11.0,HUMONGUS (CJ265),H W Lai,A Schutz,111,1030,6,10 10 10 11 8,1:51.20,23.0
HV_2015-1-14_1,9,6.0,WIN CHANCE (P415),M L Yeung,A Lee,122,971,2,9 9 9 9 9,1:51.22,27.0
HV_2015-1-14_1,10,2.0,DRAGON BACHELOR (P128),D Whyte,Y S Tsui,131,1107,10,12 12 12 12 10,1:51.52,7.3
HV_2015-1-14_1,11,7.0,LUCKY BOLE (P075),Y T Cheng,K W Lui,123,1131,3,2 1 1 1 11,1:51.56,19.0
HV_2015-1-14_1,12,3.0,ELECTRONIC GOSPEL (S026),G Mosse,K L Man,131,1057,12,5 2 2 2 12,1:51.90,6.3
HV_2015-1-14_2,1,6.0,SEA WARRIOR (P411),G Mosse,W Y So,128,1101,1,5 3 1,1:11.04,3.4
HV_2015-1-14_2,2,10.0,HAPPY HOMING (N182),K Teetan,K W Lui,119,1108,4,7 6 2,1:11.29,5.0
HV_2015-1-14_2,3,2.0,MY LEGEND (P387),D Whyte,T K Ng,131,1174,6,2 1 3,1:11.30,12.0
HV_2015-1-14_2,4,1.0,HIT THE BID (P214),M Demuro,A T Millard,133,1134,11,3 4 4,1:11.30,3.4
HV_2015-1-14_2,5,5.0,JOLLY SPRING (P395),N Callan,D E Ferraris,128,1144,7,9 9 5,1:11.32,8.7
HV_2015-1-14_2,6,12.0,TRENDIFUL (S185),M L Yeung,C S Shum,114,1083,8,4 5 6,1:11.55,27.0
HV_2015-1-14_2,7,7.0,LAUGHING LORD (T071),U Rispoli,P O'Sullivan,125,1124,12,10 10 7,1:11.55,14.0
HV_2015-1-14_2,8,3.0,ULTIMATE WINNERS (CL428),Y T Cheng,C W Chang,131,1170,2,12 12 8,1:11.61,25.0
HV_2015-1-14_2,9,8.0,HOLY STAR (T068),C Y Ho,A Schutz,121,1024,3,6 8 9,1:11.70,83.0
HV_2015-1-14_2,10,9.0,JET SET DRAGON (S384),N Rawiller,D Cruz,123,1147,10,1 2 10,1:11.73,38.0
HV_2015-1-14_2,11,11.0,WINNING EXPRESSO (S292),K C Leung,J Moore,116,1153,9,8 7 11,1:11.83,95.0
HV_2015-1-14_2,12,4.0,DIAMOND FRIENDS (S376),J Moreira,J Size,130,1047,5,11 11 12,1:13.69,27.0
HV_2015-1-14_3,1,3.0,MONTE CASTELLO (S053),D Whyte,Y S Tsui,131,1129,11,5 3 1,1:11.08,14.0
HV_2015-1-14_3,2,5.0,ALL TIMES LUCKY (P064),A Suborics,C H Yip,127,1057,10,9 8 2,1:11.14,48.0
HV_2015-1-14_3,3,10.0,WHISTLE BLOWER (P308),O Doleuze,P O'Sullivan,119,1168,4,3 4 3,1:11.21,4.8
HV_2015-1-14_3,4,9.0,EASTERN PROMISE (N196),G Mosse,K L Man,124,1095,7,8 5 4,1:11.27,20.0
HV_2015-1-14_3,5,11.0,FRIENDS OF YAN OI (M406),M L Yeung,T P Yung,114,1181,3,10 10 5,1:11.28,11.0
HV_2015-1-14_3,6,2.0,BALTIC WARRIOR (S237),N Callan,C S Shum,131,1108,2,7 9 6,1:11.31,2.6
HV_2015-1-14_3,7,8.0,CRAIG'S FORTUNE (T020),M Demuro,K W Lui,125,1032,8,12 11 7,1:11.33,20.0
HV_2015-1-14_3,8,1.0,YOU ARE THE ONE (P015),U Rispoli,P F Yiu,133,1093,12,1 1 8,1:11.37,47.0
HV_2015-1-14_3,9,12.0,FLYING RED (P382),J Moreira,J Size,115,1184,1,6 6 9,1:11.45,3.5
HV_2015-1-14_3,10,4.0,EXCELLENT FORTUNE (S252),T H So,L Ho,128,1198,5,11 12 10,1:11.52,97.0
HV_2015-1-14_3,11,6.0,TOMODACHI (M026),N Rawiller,D Cruz,127,1090,9,2 2 11,1:11.54,39.0
HV_2015-1-14_3,12,7.0,GREAT SPEED (S251),K C Ng,A S Cruz,121,1046,6,4 7 12,1:11.64,99.0
HV_2015-1-14_4,1,2.0,DRAGON PINS (N167),O Doleuze,R Gibson,129,1099,4,4 5 5 5 1,1:51.35,8.1
HV_2015-1-14_4,2,11.0,NAVEL ORANGE (P035),M Guyon,D E Ferraris,117,1101,3,12 12 11 9 2,1:51.43,9.4
HV_2015-1-14_4,3,8.0,LOVING STAR (M382),D Whyte,T K Ng,122,1114,11,10 10 9 4 3,1:51.46,7.4
HV_2015-1-14_4,4,6.0,SPIRIT SOARING (N099),B Prebble,W Y So,124,1101,2,1 1 1 1 4,1:51.46,13.0
HV_2015-1-14_4,5,5.0,DRAGON GLORY (P130),Y T Cheng,C W Chang,124,1157,8,7 7 6 7 5,1:51.54,23.0
HV_2015-1-14_4,6,9.0,INDIGO WAY (M227),H W Lai,K W Lui,119,1136,12,11 11 10 11 6,1:51.63,17.0
HV_2015-1-14_4,7,4.0,ONE OF A KIND (M391),M Demuro,C H Yip,127,1111,10,5 9 12 12 7,1:51.64,11.0
HV_2015-1-14_4,8,7.0,JOLLY GOOD STAR (S003),J Moreira,C S Shum,122,1117,7,2 2 2 2 8,1:51.78,3.2
HV_2015-1-14_4,9,12.0,SUPER STRIKE (CL393),K C Leung,A Schutz,113,1045,5,9 6 7 10 9,1:51.87,28.0
