day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2002-1-16_1,1,3.0,PERFECT MOMENT (CA220),D Dunn,K L Man,126,1086,1,1:42.40,73.0
HV_2002-1-16_1,2,10.0,NAZAKAT II (BV204),S Dye,K W Lui,116,960,3,1:42.50,5.1
HV_2002-1-16_1,3,11.0,EXTRAORDINARY (BT029),S K Sit,T P Wong,112,1119,11,1:42.50,37.0
HV_2002-1-16_1,4,9.0,HOLLYWOOD STAR (BS078),R Fradd,T W Leung,117,955,10,1:42.80,10.0
HV_2002-1-16_1,5,7.0,PRETTY BABY (BP250),W M Lai,K C Lo,119,1124,2,1:43.00,12.0
HV_2002-1-16_1,6,12.0,HOI POLLOI (BV012),H K Yim,S T Wong,113,953,4,1:43.10,40.0
HV_2002-1-16_1,7,2.0,QUI VIVRA VERRA (BP143),M W Leung,D Oughton,120,1133,8,1:44.20,24.0
HV_2002-1-16_1,8,5.0,MAGIC WIN (BV196),D Whyte,I W Allan,123,1220,6,1:44.20,2.3
HV_2002-1-16_1,9,8.0,BORN SMART (BV138),W C Marwing,D Cruz,117,1059,5,1:44.30,7.5
HV_2002-1-16_1,10,6.0,WIN IT ALL (BN026),J Egan,B K Ng,123,1049,7,1:44.80,10.0
HV_2002-1-16_1,11,1.0,HENNESSY STAR (CA071),W Woods,L Fownes,129,1110,12,1:45.80,27.0
HV_2002-1-16_1,12,4.0,SPECTACULAR WIN (BV030),A Suborics,T K Ng,125,1077,9,1:46.10,24.0
HV_2002-1-16_2,1,2.0,CLASSIC JESTER (BP208),K C Tsang,I W Allan,124,1037,1,0:58.70,9.5
HV_2002-1-16_2,2,7.0,BUMPER SUPREME (CA080),F Coetzee,Y O Wong,121,1067,2,0:58.80,4.4
HV_2002-1-16_2,3,4.0,ALL THE GLORY (BN058),O Doleuze,D Cruz,122,1144,5,0:58.80,37.0
HV_2002-1-16_2,4,3.0,TOP WINNER (CA007),D Dunn,D A Hayes,125,1103,3,0:58.90,3.9
HV_2002-1-16_2,5,9.0,NATIVE LANGUAGE (CB116),W C Marwing,P F Yiu,121,1012,7,0:59.00,7.5
HV_2002-1-16_2,6,6.0,SUPER TEAM (BN040),S K Sit,A S Cruz,119,1128,4,0:59.00,17.0
