day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
ST_2002-1-12_1,1,11.0,EVER MORE (CB130),B Marcus,J Moore,118,1094,6,0:58.20,10.0
ST_2002-1-12_1,2,4.0,JOYFUL SPIRIT (CB032),A Suborics,I W Allan,125,1051,4,0:58.50,3.1
ST_2002-1-12_1,3,12.0,SONGS OF THE SUN (CB237),D Dunn,D A Hayes,116,1085,12,0:58.70,33.0
ST_2002-1-12_1,4,10.0,TIGER DAN (CB024),D Whyte,D Oughton,125,1020,3,0:58.90,15.0
ST_2002-1-12_1,5,3.0,GETMORE DANCER (CB159),K C Tsang,P F Yiu,122,1014,10,0:59.00,88.0
ST_2002-1-12_1,6,5.0,KING OF FISH (CB105),R Fradd,T P Wong,125,1070,5,0:59.20,14.0
ST_2002-1-12_1,7,2.0,FLASH HARRY (CB180),W C Marwing,P F Yiu,125,1066,1,0:59.30,15.0
ST_2002-1-12_1,8,7.0,MR BEAUTIFUL (CB057),Y T Cheng,T K Ng,125,1015,11,0:59.60,96.0
ST_2002-1-12_1,9,1.0,CHIU CHOW HERO (CB064),S King,D Cruz,125,1030,9,1:00.00,16.0
ST_2002-1-12_1,10,8.0,SHANGHAI FRIEND (CB153),O Doleuze,P F Yiu,125,1090,2,1:00.10,62.0
ST_2002-1-12_1,11,6.0,LEPRECHAUN TOO (CA325),H K Yim,G Lane,125,1050,8,1:00.60,57.0
ST_2002-1-12_1,12,9.0,SUNSHINE BAMBOO (CB146),F Coetzee,A S Cruz,125,1028,7,1:01.20,2.2
ST_2002-1-12_10,1,12.0,SPRING FOUNTAIN (CA322),S King,D Cruz,115,1115,6,1:23.00,10.0
ST_2002-1-12_10,2,4.0,ST ALANN (BV032),F Coetzee,A S Cruz,127,1151,11,1:23.30,5.2
ST_2002-1-12_10,3,10.0,HOROSCOPE (CB139),B Marcus,P F Yiu,120,968,10,1:23.30,12.0
ST_2002-1-12_10,4,2.0,ALWAYS WIN (CA239),D Whyte,I W Allan,128,1104,2,1:23.30,6.9
ST_2002-1-12_10,5,8.0,NEVER SAY NEVER (BT028),R Fradd,J Moore,123,1024,7,1:23.40,18.0
ST_2002-1-12_10,6,3.0,COLOURFUL ERA (BP234),E Legrix,T W Leung,127,1016,13,1:23.40,18.0
ST_2002-1-12_10,7,11.0,GENERAL KINGY (CB039),S Dye,K W Lui,119,1146,8,1:23.50,6.4
ST_2002-1-12_10,8,5.0,ALL THE BEST (BV211),W C Marwing,T P Wong,126,1138,12,1:23.50,6.2
ST_2002-1-12_10,9,9.0,SPLENDID PATROL (BV066),Y T Cheng,T P Wong,122,1147,3,1:23.50,9.9
ST_2002-1-12_10,10,7.0,INDIAN ROAD (BT098),O Doleuze,D Oughton,124,1060,9,1:23.60,16.0
ST_2002-1-12_10,11,6.0,AMBITIOUS TYCOON (CB157),G Mosse,P C Kan,126,1018,4,1:23.90,19.0
ST_2002-1-12_10,12,1.0,DESERT STORM (CA048),D Dunn,D Hill,129,1062,14,1:24.30,19.0
ST_2002-1-12_10,13,14.0,HOW FLUKE (CA340),K H Ting,P C Kan,113,969,5,1:24.70,99.0
ST_2002-1-12_10,14,13.0,HOSSEGOR (BT136),K C Tsang,L Fownes,111,997,1,1:25.10,99.0
ST_2002-1-12_2,1,9.0,AUTHORISED (BP125),D Dunn,J Size,121,1056,8,1:23.40,9.7
ST_2002-1-12_2,2,6.0,FLYING BISHOP (CA296),W C Marwing,P F Yiu,126,1009,14,1:23.50,5.7
ST_2002-1-12_2,3,3.0,FAVOURITE EXPRESS (CB041),G Mosse,G Lane,128,1137,6,1:23.50,2.3
ST_2002-1-12_2,4,1.0,SOUTH CHINA NINETY (CA174),D Whyte,I W Allan,131,1080,4,1:23.60,6.5
ST_2002-1-12_2,5,2.0,BORN TO WIN (BP010),J Egan,B K Ng,128,1107,5,1:23.80,20.0
ST_2002-1-12_2,6,5.0,KRISTOFFERSON (BV071),W Woods,L Fownes,127,1113,2,1:23.80,18.0
ST_2002-1-12_2,7,13.0,ILIKETOSMILE (CA028),M W Leung,T P Wong,108,1053,3,1:23.90,11.0
ST_2002-1-12_2,8,14.0,DIVINE FEELING (CA355),S Dye,D A Hayes,115,1007,11,1:24.30,75.0
ST_2002-1-12_2,9,10.0,RENA'S WUNDERBAR (CA285),H K Yim,K W Lui,119,1061,10,1:24.40,99.0
ST_2002-1-12_2,10,12.0,SMART WIN (CA372),K H Ting,P C Kan,117,991,13,1:24.50,99.0
ST_2002-1-12_2,11,11.0,ACCURACY (BT085),Y T Cheng,K C Lo,117,1129,12,1:24.50,58.0
ST_2002-1-12_2,12,4.0,EARL GREY (CA251),S King,P Chapple-Hyam,127,984,7,1:24.80,23.0
ST_2002-1-12_2,13,8.0,SOUTHERN TREASURE (CA345),A Suborics,D Oughton,122,1108,1,1:24.90,99.0
ST_2002-1-12_2,14,7.0,SENSATIONAL (CA392),B Marcus,D Cruz,124,1136,9,1:25.20,13.0
ST_2002-1-12_3,1,11.0,BOXING DAY (CA284),Y T Cheng,K C Lo,123,1086,8,1:24.40,8.1
ST_2002-1-12_3,2,7.0,CHARMING STRIDE (BV325),A Suborics,T K Ng,127,1071,1,1:24.50,11.0
ST_2002-1-12_3,3,4.0,MY FAVOURITE (CA125),S Dye,J Size,129,1066,13,1:24.50,5.7
ST_2002-1-12_3,4,1.0,NEW DYNASTY (BT291),S King,P Chapple-Hyam,131,1128,2,1:24.50,6.2
ST_2002-1-12_3,5,6.0,POWER OF SUCCESS (CA096),D Dunn,K L Man,128,1094,4,1:24.80,17.0
ST_2002-1-12_3,6,5.0,STAR OF WAH YAN (BP105),M W Leung,A T Millard,122,1104,9,1:24.80,83.0
ST_2002-1-12_3,7,2.0,CHUK WAY (BT268),B Marcus,T W Leung,130,1052,12,1:24.90,14.0
ST_2002-1-12_3,8,8.0,SMILEY WIN (CA005),D Whyte,D Hill,127,1131,6,1:25.00,12.0
ST_2002-1-12_3,9,9.0,GOLDEN BELL (BT256),G Mosse,P C Kan,125,1045,14,1:25.00,4.5
ST_2002-1-12_3,10,3.0,MILLENNIUM DAWN (BV168),E Legrix,L Ho,130,1012,7,1:25.10,11.0
ST_2002-1-12_3,11,14.0,EVERWELL FOREVER (BT195),J Egan,T P Wong,115,1026,10,1:25.20,33.0
ST_2002-1-12_3,12,10.0,PLATINUM EXPRESS (BV187),O Doleuze,D Cruz,124,1080,3,1:25.30,13.0
ST_2002-1-12_3,13,12.0,FORTUNE SALLIAN (BT120),R Fradd,P F Yiu,121,1141,5,1:25.40,37.0
ST_2002-1-12_3,14,13.0,CASH (CA245),H K Yim,B K Ng,119,1028,11,1:25.40,87.0
ST_2002-1-12_4,1,10.0,NICE MEMORIES (BV152),G Mosse,P C Kan,123,1033,1,1:35.90,8.3
ST_2002-1-12_4,2,9.0,DARWIN (CA068),S Dye,J Size,123,1078,12,1:36.00,4.5
ST_2002-1-12_4,3,1.0,C'EST LA VIE (CB085),W C Marwing,I W Allan,130,1009,2,1:36.00,6.3
ST_2002-1-12_4,4,5.0,EXCEPTIONAL (BT183),D Whyte,D Oughton,128,1079,11,1:36.10,5.9
ST_2002-1-12_4,5,4.0,ANIMATED PLAYTHING (CA371),E Legrix,T W Leung,128,1050,5,1:36.70,11.0
ST_2002-1-12_4,6,11.0,WINNING YEARS (BP249),D Dunn,P Chapple-Hyam,123,1071,9,1:37.20,32.0
ST_2002-1-12_4,7,6.0,HAPPY HARVEST (CB087),Y T Cheng,K L Man,127,1056,13,1:37.20,15.0
ST_2002-1-12_4,8,8.0,CHARITY FIRST (BN022),A Suborics,K W Lui,123,1037,14,1:37.30,60.0
ST_2002-1-12_4,9,7.0,FORTUNE TYCOON (BS187),M W Leung,A T Millard,117,1133,3,1:37.50,30.0
ST_2002-1-12_4,10,14.0,GANBARIA STAR (CA191),S King,S T Wong,115,1032,6,1:37.80,99.0
ST_2002-1-12_4,11,2.0,DON CARLOS (CB007),B Marcus,D Hill,130,1038,7,1:38.00,7.2
ST_2002-1-12_4,12,12.0,APPLIED SUPREME (BV207),K C Tsang,B K Ng,117,1119,8,1:38.10,26.0
ST_2002-1-12_4,13,13.0,HONG KONG STAR (CB072),J Egan,L Ho,115,1005,4,1:38.60,99.0
ST_2002-1-12_4,14,3.0,PEARL AND GOLD (CA082),F Coetzee,K C Lo,130,1051,10,1:39.50,8.2
ST_2002-1-12_5,1,5.0,CIRCUIT KINGDOM (CB046),D Whyte,Y O Wong,124,1131,14,1:23.30,3.7
ST_2002-1-12_5,2,6.0,FELICITY (CB079),J Egan,J Moore,124,1104,3,1:23.60,5.4
ST_2002-1-12_5,3,3.0,DECOUVERT (BT114),S Dye,J Size,126,1081,5,1:23.60,9.4
ST_2002-1-12_5,4,4.0,PERFECT VICTORY (BP327),O Doleuze,D Cruz,126,1217,10,1:23.70,25.0
ST_2002-1-12_5,5,12.0,LUCKY MASTER (CA335),W C Marwing,K L Man,116,997,11,1:23.70,14.0
ST_2002-1-12_5,6,1.0,PAOBRIDGE (CB073),W Woods,L Fownes,130,1193,1,1:23.80,3.3
ST_2002-1-12_5,7,2.0,ORLANDO FLYER (CA350),D Dunn,D A Hayes,128,1149,13,1:23.90,7.7
ST_2002-1-12_5,8,11.0,SINCERE AND FAITH (BT102),A Suborics,T W Leung,120,1067,7,1:24.00,67.0
ST_2002-1-12_5,9,14.0,ZABETTE (BV031),K C Tsang,T K Ng,110,1222,2,1:24.20,29.0
ST_2002-1-12_5,10,7.0,MUNDAHISH (BT250),M W Leung,B K Ng,117,1093,6,1:24.20,61.0
ST_2002-1-12_5,11,10.0,FORTUNE MAPLE (CA385),Y T Cheng,K C Lo,121,1100,9,1:24.60,99.0
ST_2002-1-12_5,12,8.0,BEST EVER (CB050),F Coetzee,A S Cruz,123,1051,8,1:24.80,68.0
ST_2002-1-12_5,13,13.0,BLESSINGS' PARTNER (BV051),K H Ting,P C Kan,114,1026,4,1:24.90,44.0
ST_2002-1-12_5,14,9.0,INVENTOR (BP172),S K Sit,L Ho,119,1122,12,0:00.00,85.0
ST_2002-1-12_6,1,2.0,FRAME'S PEOPLE (BV257),S King,T K Ng,129,1197,10,1:36.40,13.0
ST_2002-1-12_6,2,14.0,SMART HORSE (BV096),J Egan,K W Lui,115,1009,8,1:36.40,24.0
ST_2002-1-12_6,3,9.0,EMPIRE COURT (BT189),S K Sit,T P Wong,120,1145,6,1:36.50,58.0
ST_2002-1-12_6,4,5.0,LUCKY LAD (CA148),B Marcus,J Moore,128,1149,4,1:36.50,2.7
ST_2002-1-12_6,5,12.0,COMMON PLACE (CA102),D Dunn,P F Yiu,119,972,5,1:36.50,31.0
ST_2002-1-12_6,6,8.0,MY JOY (CA143),O Doleuze,D Cruz,125,1181,7,1:36.70,16.0
ST_2002-1-12_6,7,3.0,FRENCH CONNECTION (CA384),K H Ting,P C Kan,129,1090,9,1:36.70,8.9
ST_2002-1-12_6,8,13.0,BUCK'S FIZZ (BV272),D Whyte,D Oughton,117,1026,3,1:36.70,11.0
ST_2002-1-12_6,9,11.0,CLASSA WIN (CA115),E Legrix,L Ho,122,1002,14,1:36.70,46.0
ST_2002-1-12_6,10,4.0,COME SEE YOU (CA368),W C Marwing,I W Allan,128,1029,2,1:36.70,6.2
ST_2002-1-12_6,11,6.0,RUN AND WIN (CA131),S Dye,J Size,127,1140,1,1:36.90,6.3
ST_2002-1-12_6,12,10.0,GOLDEN DUKE (BN194),Y T Cheng,K C Lo,123,1030,12,1:37.00,99.0
ST_2002-1-12_6,13,7.0,BELLAGIO (BT123),G Mosse,L Fownes,125,1172,11,1:37.30,17.0
ST_2002-1-12_6,14,1.0,ASPIRATION (BP003),F Coetzee,A T Millard,129,1028,13,1:37.60,99.0
ST_2002-1-12_7,1,2.0,FLYING MACHINE (CB082),F Coetzee,A S Cruz,131,1141,6,1:11.00,1.9
ST_2002-1-12_7,2,3.0,BILLION DELIGHT (BP086),S King,J Size,130,1120,8,1:11.40,26.0
ST_2002-1-12_7,3,10.0,THE GRAND ROOF (CB083),B Marcus,T W Leung,120,1038,4,1:11.40,12.0
ST_2002-1-12_7,4,5.0,CALIFORNIA KID (CA219),D Dunn,D A Hayes,129,1144,2,1:11.50,18.0
ST_2002-1-12_7,5,4.0,HOKKIEN ALL (BV341),E Legrix,G Lane,130,1245,5,1:11.50,11.0
ST_2002-1-12_7,6,9.0,PREMIER SPEED (CB213),D Whyte,K C Lo,120,1080,1,1:11.50,18.0
ST_2002-1-12_7,7,6.0,CHEEKY (CA266),J Egan,L Ho,128,999,12,1:11.60,5.3
ST_2002-1-12_7,8,1.0,PLENTY OF LUCK (CA308),H K Yim,K W Lui,132,1096,11,1:11.70,6.8
ST_2002-1-12_7,9,12.0,COSMO ONE (BS018),S K Sit,K L Man,110,1100,9,1:11.80,90.0
ST_2002-1-12_7,10,11.0,HIDDEN TALENT (BT117),A Suborics,T K Ng,118,1118,10,1:12.30,86.0
ST_2002-1-12_7,11,8.0,COLLEGE TOWN (CB192),O Doleuze,P F Yiu,120,1176,3,1:12.40,99.0
ST_2002-1-12_7,12,7.0,RETURN A SMILE (BT112),K C Tsang,I W Allan,118,1184,7,1:12.40,49.0
ST_2002-1-12_8,1,4.0,GREENMORE (BT194),E Legrix,S T Wong,128,1025,5,2:03.10,15.0
ST_2002-1-12_8,2,14.0,NEW PLANET (CA037),H K Yim,K W Lui,113,1125,7,2:03.10,22.0
ST_2002-1-12_8,3,7.0,LUCKSWELL (CA171),S Dye,S T Wong,124,1002,10,2:03.20,4.2
ST_2002-1-12_8,4,5.0,TURBOJET (BT277),F Coetzee,A S Cruz,126,1152,12,2:03.30,9.6
ST_2002-1-12_8,5,3.0,BIA DESERT (CB108),O Doleuze,D Cruz,128,1050,14,2:03.30,32.0
ST_2002-1-12_8,6,8.0,LEGITIMATE (BM240),D Whyte,D Oughton,123,1146,2,2:03.40,39.0
ST_2002-1-12_8,7,13.0,CUPID (BV043),D Dunn,D Hill,116,1035,4,2:03.50,10.0
ST_2002-1-12_8,8,2.0,DANEFACTOR (CA006),G Mosse,P C Kan,129,1105,13,2:03.70,6.9
ST_2002-1-12_8,9,11.0,GOOD FIT (BT198),Y T Cheng,D Cruz,117,1075,8,2:03.70,12.0
ST_2002-1-12_8,10,6.0,DRAGON POWER (BT162),B Marcus,D A Hayes,124,1141,6,2:03.80,18.0
