day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2013-1-16_1,1,1.0,MIZZEN GREY (N192),W M Lai,T K Ng,133,1069,4,2 5 5 5 1,1:52.41,18.0
HV_2013-1-16_1,2,12.0,SUNSEEKER (CL161),K C Leung,P O'Sullivan,116,1078,9,11 9 8 8 2,1:52.46,10.0
HV_2013-1-16_1,3,8.0,EAST OCEAN (CK340),U Rispoli,B K Ng,122,1243,11,10 12 12 12 3,1:52.64,10.0
HV_2013-1-16_1,4,4.0,PERFECT TEN (CL030),T Clark,S Woods,130,1152,7,4 2 3 2 4,1:52.65,11.0
HV_2013-1-16_1,5,11.0,KING GALILEO (CL028),C Y Ho,A Schutz,115,1125,6,9 10 10 10 5,1:52.69,9.4
HV_2013-1-16_1,6,3.0,SABINA (CK169),R Fourie,A Lee,132,1177,3,8 6 7 6 6,1:52.73,6.6
HV_2013-1-16_1,7,7.0,WATCH FIRST (CL160),D Whyte,C H Yip,124,1112,12,12 11 11 11 7,1:52.76,6.3
HV_2013-1-16_1,8,10.0,SPARKLING (CK149),H W Lai,K L Man,117,1078,2,7 3 4 4 8,1:53.02,21.0
HV_2013-1-16_1,9,9.0,REALLY THE BEST (M188),T Queally,D Cruz,120,1158,1,1 1 2 3 9,1:53.06,22.0
HV_2013-1-16_1,10,2.0,O'REILLY MAGIC (CJ134),C Y Lui,C W Chang,122,1029,10,6 8 9 9 10,1:53.19,22.0
HV_2013-1-16_1,11,5.0,FIERY PATROL (M360),Y T Cheng,T W Leung,129,1027,8,3 4 6 7 11,1:53.38,3.9
HV_2013-1-16_1,12,6.0,SOLAR WONDER (CL034),B Prebble,D J Hall,128,1180,5,5 7 1 1 12,1:53.65,13.0
HV_2013-1-16_2,1,8.0,HIGHEST ACCLAIM (N345),B Prebble,C Fownes,125,1143,2,8 7 1,1:10.55,4.3
HV_2013-1-16_2,2,9.0,NO TIES (N271),H W Lai,C S Shum,120,1077,6,7 8 2,1:10.78,6.1
HV_2013-1-16_2,3,4.0,SILVER DRAGON (M326),Z Purton,Y S Tsui,128,1108,11,12 12 3,1:10.84,9.0
