day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2014-1-15_1,1,4.0,SUPERKING DRAGON (N318),B Prebble,A Lee,132,1065,5,1 3 3 3 1,1:50.91,6.3
HV_2014-1-15_1,2,11.0,WEALTH PARK (M300),C Y Ho,W Y So,113,964,8,2 1 1 1 2,1:50.95,10.0
HV_2014-1-15_1,3,12.0,STARLIT WARRIOR (M162),M Demuro,D Cruz,114,1062,2,9 8 7 9 3,1:51.13,8.5
HV_2014-1-15_1,4,9.0,HUMONGUS (CJ265),K C Leung,A Schutz,120,1025,3,6 5 5 6 4,1:51.35,21.0
HV_2014-1-15_1,5,2.0,KENSWORTH KID (N075),T Angland,R Gibson,132,1161,7,10 11 11 2 5,1:51.43,23.0
HV_2014-1-15_1,6,7.0,MR MARFACH (M067),N Pinna,D J Hall,127,1012,1,12 10 9 10 6,1:51.45,14.0
HV_2014-1-15_1,7,3.0,MIZZEN GREY (N192),D Whyte,T K Ng,132,1061,6,8 6 6 4 7,1:51.59,5.9
HV_2014-1-15_1,8,1.0,MOBILE KING (P084),Z Purton,C Fownes,133,1073,9,5 7 8 7 8,1:51.81,3.5
HV_2014-1-15_1,9,8.0,LOTUS LOVE (CL155),H W Lai,L Ho,123,1191,4,4 4 4 8 9,1:51.83,31.0
HV_2014-1-15_1,10,5.0,JOLLY GOOD (CL134),M Chadwick,S Woods,130,976,12,3 2 2 5 10,1:52.13,26.0
HV_2014-1-15_1,11,6.0,DARK SECRET (M213),J Moreira,D E Ferraris,128,1004,11,7 9 10 11 11,1:52.21,7.0
HV_2014-1-15_1,12,10.0,GOLD FORTUNE (N257),C Y Lui,P O'Sullivan,113,1032,10,11 12 12 12 12,1:52.57,43.0
HV_2014-1-15_2,1,7.0,STEP HIGH (N047),T Angland,T P Yung,122,1094,5,7 7 6 1,1:40.90,3.1
HV_2014-1-15_2,2,1.0,STARTING OVER (P321),A Suborics,C Fownes,133,1004,6,6 6 7 2,1:41.10,24
HV_2014-1-15_2,3,9.0,ZACHARY (N146),Z Purton,K W Lui,120,1159,2,4 4 4 3,1:41.19,2.6
HV_2014-1-15_2,4,10.0,SUPER TEAM (M036),J Moreira,A T Millard,116,1136,8,8 8 8 4,1:41.21,6.3
HV_2014-1-15_2,5,3.0,COOL BEAN (N076),G Mosse,D Cruz,131,1058,7,5 5 5 5,1:41.77,7.2
HV_2014-1-15_2,6,8.0,ALL THE WINNERS (CL019),C Y Lui,L Ho,113,1148,9,1 1 1 6,1:42.31,13
HV_2014-1-15_2,7,4.0,SAFARI MAGIC (N166),M Demuro,Y S Tsui,125,1111,4,3 2 3 7,1:42.40,12
HV_2014-1-15_2,8,2.0,COSTA DEL SOL (M111),K C Ng,C H Yip,127,1243,3,2 3 2 8,1:42.57,38
HV_2014-1-15_2,WV,5.0,SURE CHAMP (N013),K C Leung,R Gibson,122,---,---,---,---,---
HV_2014-1-15_2,WV-A,6.0,SOUTHERN SPRINGS (P139),D Whyte,C S Shum,122,---,---,---,---,---
HV_2014-1-15_3,1,7.0,YOU ARE THE ONE (P015),J Moreira,P F Yiu,123,1095,9,1 1 1,1:10.19,3.6
HV_2014-1-15_3,2,6.0,SUPREME KING (S020),Z Purton,C Fownes,125,1182,7,2 2 2,1:10.25,4.5
HV_2014-1-15_3,3,12.0,RED COURAGE (N110),M Chadwick,J Size,116,1146,3,4 4 3,1:10.30,4.4
HV_2014-1-15_3,4,11.0,MISTER MARC (P316),C Y Ho,Y S Tsui,116,1080,5,5 5 4,1:10.53,27.0
HV_2014-1-15_3,5,4.0,CAPITAL K (M224),W C Marwing,L Ho,128,1088,6,6 7 5,1:10.55,8.7
HV_2014-1-15_3,6,9.0,HAPPY HOMING (N182),D Whyte,C H Yip,119,1077,12,11 12 6,1:10.66,11.0
HV_2014-1-15_3,7,2.0,FUJIAN SPIRIT (N397),T Angland,A T Millard,129,1075,1,7 6 7,1:10.69,12.0
HV_2014-1-15_3,8,10.0,TELECOM TOP STAR (CL276),A Suborics,K W Lui,120,1084,8,10 9 8,1:10.69,14.0
HV_2014-1-15_3,9,5.0,MAKE IT (CL139),K C Leung,S Woods,125,1124,10,8 8 9,1:10.73,27.0
HV_2014-1-15_3,10,8.0,FAIR WIND (P349),G Mosse,K L Man,121,1179,2,3 3 10,1:10.87,21.0
HV_2014-1-15_3,11,3.0,GOOD DIRECTIONS (N424),B Prebble,C W Chang,129,1172,11,12 10 11,1:11.04,99.0
HV_2014-1-15_3,12,1.0,GLAMOROUS RYDER (S007),C K Tong,P O'Sullivan,131,1128,4,9 11 12,1:12.29,99.0
HV_2014-1-15_4,1,7.0,REDWOOD BABY (P358),J Moreira,C S Shum,127,992,5,7 7 6 6 1,1:51.49,2.5
HV_2014-1-15_4,2,6.0,HAPPY CENTENARY (P292),B Prebble,P F Yiu,128,1145,6,3 2 2 2 2,1:51.80,6.2
HV_2014-1-15_4,3,11.0,FUNNY FORTUNE (P227),K C Ng,L Ho,110,1065,1,2 3 3 4 3,1:51.81,6.0
HV_2014-1-15_4,4,10.0,OWNERS' GLORY (CL391),C Y Ho,C S Shum,118,1035,2,4 4 4 3 4,1:51.81,20.0
HV_2014-1-15_4,5,1.0,DRAGON PINS (N167),D Whyte,R Gibson,133,1123,3,5 5 5 7 5,1:52.00,12.0
HV_2014-1-15_4,6,4.0,EAGLE SPIRIT (CL326),K C Leung,A Schutz,127,1205,9,9 9 8 10 6,1:52.03,52.0
HV_2014-1-15_4,7,8.0,CHINA DELIGHT (N148),G Mosse,K W Lui,122,1001,11,11 10 11 5 7,1:52.13,5.0
HV_2014-1-15_4,8,9.0,FLYING IN (CK120),Z Purton,K L Man,121,1062,7,6 6 7 9 8,1:52.14,16.0
HV_2014-1-15_4,9,2.0,HOLY MAC (N189),M Demuro,D E Ferraris,132,1089,10,10 11 10 11 9,1:52.18,50.0
HV_2014-1-15_4,10,3.0,PERFECT MOMENT (N168),C K Tong,W Y So,128,1161,4,1 1 1 1 10,1:52.36,40.0
HV_2014-1-15_4,11,5.0,EVERSPRING (P325),M Chadwick,S Woods,128,961,8,8 8 9 8 11,1:52.40,24.0
HV_2014-1-15_5,1,5.0,BRAVENESS (P148),T Angland,C Fownes,127,1075,2,3 3 1,0:56.85,7.6
HV_2014-1-15_5,2,12.0,BRILLIANT PROPOSAL (N392),M Demuro,D Cruz,116,1144,6,2 2 2,0:57.19,12.0
