day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2020-1-15_1,1,8.0,ROMAN ODYSSEY (A092),M Chadwick,K L Man,127,1115,4,5 4 1,0:57.67,4.5
HV_2020-1-15_1,2,6.0,FLYING MONKEY (T361),A Badel,T P Yung,129,1087,8,4 5 2,0:57.73,18.0
HV_2020-1-15_1,3,9.0,ROYAL CHOCOLATE (A356),K Teetan,W Y So,127,1157,2,6 6 3,0:57.75,7.4
HV_2020-1-15_1,4,5.0,DEMONS ROCK (B263),M F Poon,D J Hall,127,1053,9,10 11 4,0:57.80,14.0
HV_2020-1-15_1,5,7.0,GREAT SON (A423),N Callan,P O'Sullivan,128,1047,5,2 2 5,0:57.83,3.6
HV_2020-1-15_1,6,10.0,JIMSON THE DRAGON (C017),K H Chan,C H Yip,116,1045,6,9 8 6,0:57.90,25.0
HV_2020-1-15_1,7,4.0,NICE FANDANGO (A209),B Shinn,C Fownes,131,1136,11,1 1 7,0:57.95,8.4
HV_2020-1-15_1,8,12.0,KEEP GOING (B231),H N Wong,Y S Tsui,112,1060,7,7 10 8,0:58.08,27.0
HV_2020-1-15_1,9,1.0,GOLDEN GENERAL (A346),H T Mo,K H Ting,130,1194,10,12 12 9,0:58.11,74.0
HV_2020-1-15_1,10,3.0,MULTIMAX (T129),H W Lai,L Ho,131,1192,1,3 3 10,0:58.15,7.3
HV_2020-1-15_1,11,11.0,NASHASHUK (V143),J Moreira,J Size,115,1125,12,8 7 11,0:58.37,11.0
HV_2020-1-15_1,12,2.0,PROMISE KEPT (B017),L Hewitson,A T Millard,133,1080,3,11 9 12,0:58.49,38.0
HV_2020-1-15_2,1,12.0,FLYING GODSPELL (V376),M F Poon,K H Ting,115,1103,1,3 3 1,1:09.61,3.7
HV_2020-1-15_2,2,11.0,THE SHOW (T256),G van Niekerk,C W Chang,120,1107,5,7 7 2,1:09.82,7.3
HV_2020-1-15_2,3,6.0,AMAZING (A202),K C Leung,T P Yung,127,1083,10,11 10 3,1:10.00,16.0
HV_2020-1-15_2,4,2.0,JOLLY CONVERGENCE (V293),N Callan,R Gibson,132,1084,4,4 5 4,1:10.01,11.0
HV_2020-1-15_2,5,7.0,EXCEPTIONAL DESIRE (A142),T Piccone,W Y So,123,1193,12,2 2 5,1:10.02,6.8
HV_2020-1-15_2,6,3.0,PERFECT TO PLAY (B095),C Y Ho,C Fownes,131,1024,2,9 8 6,1:10.23,9.3
HV_2020-1-15_2,7,9.0,AFTER ME (B300),M Chadwick,P F Yiu,122,1035,3,5 6 7,1:10.24,5.4
HV_2020-1-15_2,8,5.0,MY FAMILY (C187),H N Wong,Y S Tsui,126,1141,11,12 12 8,1:10.25,91.0
HV_2020-1-15_2,9,8.0,NICE KICK (B002),J Moreira,J Size,123,1127,8,6 4 9,1:10.35,6.4
HV_2020-1-15_2,10,1.0,MR WISEGUY (C543),L Hewitson,D J Whyte,133,1067,9,1 1 10,1:10.48,93.0
HV_2020-1-15_2,11,4.0,KING PRINT (C123),H W Lai,C H Yip,130,1105,6,8 9 11,1:10.61,67.0
HV_2020-1-15_2,12,10.0,JOY AVENUE (C340),K Teetan,C H Yip,121,1157,7,10 11 12,1:11.03,34.0
HV_2020-1-15_3,1,12.0,HAPPY GOOD GUYS (B466),S De Sousa,P F Yiu,117,1117,11,2 2 1,0:56.87,7.8
HV_2020-1-15_3,2,9.0,WINNING WAYS (B332),B Shinn,C S Shum,121,1206,12,10 8 2,0:57.25,9.4
HV_2020-1-15_3,3,11.0,OVERSUBSCRIBED (C361),M F Poon,D J Hall,116,1129,5,7 6 3,0:57.28,13.0
HV_2020-1-15_3,4,4.0,GUNNAR (C222),L Hewitson,C Fownes,131,1128,8,6 3 4,0:57.47,12.0
HV_2020-1-15_3,5,2.0,PRECIOUS SWEETIE (B254),M L Yeung,L Ho,133,1148,3,11 9 5,0:57.55,15.0
HV_2020-1-15_3,6,10.0,GOUTEN OF GARO (A291),A Badel,D E Ferraris,118,1119,2,5 7 6,0:57.60,4.8
HV_2020-1-15_3,7,8.0,GALAXY EMPEROR (D107),K Teetan,A S Cruz,123,1077,1,8 11 7,0:57.83,32.0
HV_2020-1-15_3,8,5.0,FIRE BALL (D087),J Moreira,C H Yip,125,1049,4,3 4 8,0:57.93,2.9
HV_2020-1-15_3,9,6.0,WE THE SOUTH (D149),N Callan,J Moore,125,1120,6,4 5 9,0:57.94,74.0
HV_2020-1-15_3,10,1.0,MEGA RED (V078),H N Wong,C W Chang,130,1159,10,12 12 10,0:57.94,88.0
HV_2020-1-15_3,11,3.0,EVERBRAVE (A364),C Y Ho,K L Man,131,1214,9,9 10 11,0:57.95,12.0
HV_2020-1-15_3,12,7.0,LOOK ERAS (V123),K H Chan,Y S Tsui,114,1095,7,1 1 12,0:58.20,13.0
HV_2020-1-15_4,1,5.0,PLAY WISE (A411),M F Poon,C H Yip,126,1068,1,4 3 3 1,1:39.30,8.4
HV_2020-1-15_4,2,2.0,HEAVENLY THOUGHT (C163),J Moreira,F C Lor,133,1060,11,6 5 6 2,1:39.37,4.0
HV_2020-1-15_4,3,11.0,LIGHTNING STEED (B274),M Chadwick,C Fownes,119,1112,2,2 2 1 3,1:39.39,7.3
HV_2020-1-15_4,4,7.0,INDIGENOUS STAR (A081),H W Lai,P F Yiu,123,1053,5,5 6 7 4,1:39.83,27.0
HV_2020-1-15_4,5,3.0,PRETTY BAUHINIA (A135),K Teetan,Y S Tsui,131,1048,9,10 11 10 5,1:39.93,8.8
HV_2020-1-15_4,6,1.0,HARRIER JET (T372),S De Sousa,P O'Sullivan,133,1153,10,9 9 11 6,1:39.99,27.0
HV_2020-1-15_4,7,9.0,MANAGEMENT STAR (B006),A Badel,K W Lui,122,1106,3,11 10 5 7,1:40.04,4.3
HV_2020-1-15_4,8,4.0,CHARITY WINGS (B003),T Piccone,C S Shum,128,1102,4,7 8 8 8,1:40.06,7.2
HV_2020-1-15_4,9,8.0,MISTER MONTE (A201),G van Niekerk,C W Chang,123,1074,7,3 4 4 9,1:40.08,10.0
HV_2020-1-15_4,10,6.0,TUNG WAH GLORY (D006),M L Yeung,T P Yung,125,1040,12,12 12 12 10,1:40.20,98.0
HV_2020-1-15_4,11,10.0,ELECTRIC LIGHTNING (A189),K H Chan,D E Ferraris,111,1052,8,1 1 2 11,1:40.40,24.0
HV_2020-1-15_4,12,12.0,GREEN GENERATION (C355),T H So,D J Hall,111,1064,6,8 7 9 12,1:40.45,253.0
HV_2020-1-15_5,1,5.0,VIGOR FAME (B260),S De Sousa,K H Ting,124,1040,2,1 1 1 1,1:39.31,4.8
HV_2020-1-15_5,2,10.0,BIG BANG BONG (V186),G van Niekerk,C W Chang,119,1092,9,10 10 10 2,1:39.35,14.0
HV_2020-1-15_5,3,7.0,SURREALISM (C285),K Teetan,D E Ferraris,123,1092,3,6 5 5 3,1:39.41,2.7
HV_2020-1-15_5,4,2.0,NAMJONG PLUS (B048),M L Yeung,Y S Tsui,132,1078,5,8 8 8 4,1:39.61,10.0
HV_2020-1-15_5,5,8.0,GAYSON (D041),B Shinn,J Moore,122,1109,8,9 9 9 5,1:39.74,48.0
HV_2020-1-15_5,6,9.0,TOP SCORE (V357),C Y Ho,K W Lui,120,1146,4,5 6 6 6,1:39.81,15.0
HV_2020-1-15_5,7,3.0,PLANET STAR (A049),K C Leung,P O'Sullivan,128,1196,1,3 3 3 7,1:39.83,11.0
HV_2020-1-15_5,8,11.0,CHUNG WAH SPIRIT (A168),T H So,C H Yip,113,1099,11,11 11 11 8,1:39.92,116.0
HV_2020-1-15_5,9,4.0,SUPERBELLA (D128),A Badel,F C Lor,128,1107,6,7 7 7 9,1:40.08,36.0
HV_2020-1-15_5,10,6.0,PICKEN (B311),J Moreira,J Size,123,1190,10,2 2 2 10,1:40.33,4.4
HV_2020-1-15_5,11,1.0,EPIC (C114),N Callan,R Gibson,133,1130,7,4 4 4 11,1:40.80,24.0
HV_2020-1-15_6,1,4.0,VICTORY IN HAND (C103),K Teetan,K W Lui,129,1084,9,2 2 1,1:09.46,2.7
