day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2009-1-14_1,1,1.0,KING CREOLE (CG287),D Whyte,K W Lui,133,1082,4,8 5 1,0:58.47,2.7
HV_2009-1-14_1,2,5.0,TELECOM EMPEROR (CH137),M W Leung,D J Hall,122,1248,12,12 12 2,0:58.75,35
HV_2009-1-14_1,3,4.0,SILVER WRAITH (CE178),M L Yeung,Y S Tsui,119,1006,6,7 8 3,0:58.92,24
HV_2009-1-14_1,4,11.0,ACTIVE VALOUR (CG045),B Prebble,B K Ng,128,1061,10,10 10 4,0:59.00,25
HV_2009-1-14_1,5,6.0,PERFECT ATHLETE (CG276),C W Wong,C H Yip,121,1125,2,1 1 5,0:59.14,4.2
HV_2009-1-14_1,6,9.0,ACTUARIAL TALENT (CJ028),Y T Cheng,C S Shum,117,1023,3,9 9 6,0:59.24,36
HV_2009-1-14_1,7,12.0,PLEASURE PLEASURE (CD271),W M Lai,T K Ng,111,1021,5,11 11 7,0:59.25,41
HV_2009-1-14_1,8,3.0,OPTIC KING (CE139),C K Tong,B K Ng,126,1097,8,4 6 8,0:59.36,9.2
HV_2009-1-14_1,9,10.0,SUPER RED (CG230),K L Chui,A S Cruz,112,1072,11,3 4 9,0:59.48,15
HV_2009-1-14_1,10,7.0,BLUE SAINT (CJ080),H W Lai,L Ho,120,1069,1,2 2 10,0:59.52,6.8
HV_2009-1-14_1,11,2.0,HAPPY SUNDAY (CE169),G Mosse,A Lee,131,1136,7,6 7 11,0:59.91,8.4
HV_2009-1-14_1,12,8.0,FIRST DEGREE (CH132),B Doyle,T W Leung,122,1120,9,5 3 12,1:02.31,76
HV_2009-1-14_1,WX,,MAINLAND MASTER (CG044),J Victoire,S Woods,114,---,---,---,---,---
HV_2009-1-14_2,1,10.0,GANBARIA (CE052),M L Yeung,Y S Tsui,109,1167,6,2 2 1,1:11.43,6.8
HV_2009-1-14_2,2,6.0,SOU MA TAM (CH253),W C Marwing,C Fownes,126,1160,7,1 1 2,1:11.69,6.6
HV_2009-1-14_2,3,1.0,DRAGON EYE (CJ127),D Whyte,P O'Sullivan,133,1082,1,4 4 3,1:11.70,2.7
HV_2009-1-14_2,4,12.0,AURELIAN (CC025),C K Tong,L Ho,109,1126,2,7 5 4,1:11.87,31.0
HV_2009-1-14_2,5,3.0,SPEEDY STAR (CJ174),M W Leung,L Ho,124,1075,3,10 10 5,1:11.88,10.0
HV_2009-1-14_2,6,9.0,NAMJONG SKY (CH129),B Prebble,D J Hall,122,1169,4,8 8 6,1:11.90,4.8
HV_2009-1-14_2,7,8.0,DAILY DOUBLE (CK043),B Doyle,T W Leung,122,1084,11,9 11 7,1:12.13,71.0
HV_2009-1-14_2,8,2.0,KINGSTON MARBLE (CE244),W M Lai,T K Ng,128,1113,12,3 3 8,1:12.24,30.0
HV_2009-1-14_2,9,11.0,TAKE IT EASY (CJ029),J Victoire,C H Yip,118,1029,9,11 9 9,1:12.58,15.0
HV_2009-1-14_2,10,5.0,GOLD CITY (CJ322),H W Lai,P F Yiu,124,1112,10,6 7 10,1:12.85,12.0
HV_2009-1-14_2,11,7.0,EXQUISITE YIELD (CK049),K L Chui,D J Hall,121,1104,8,5 6 11,1:13.13,99.0
HV_2009-1-14_2,12,4.0,EPEE DE HUA (CJ307),Y T Cheng,C S Shum,124,1043,5,12 12 12,1:14.01,79.0
HV_2009-1-14_3,1,6.0,BEST FRIEND (CH240),B Prebble,D J Hall,120,1101,4,4 4 4 4 1,1:49.71,3.5
HV_2009-1-14_3,2,7.0,LOTZATOW (CD397),H W Lai,P F Yiu,116,1052,7,6 6 6 6 2,1:49.88,13.0
HV_2009-1-14_3,3,2.0,EYSHAL (CJ099),W C Marwing,J Moore,131,1159,3,2 1 1 1 3,1:49.91,3.3
HV_2009-1-14_3,4,5.0,FEARLESS (CH301),G Mosse,D E Ferraris,123,1144,2,5 5 5 5 4,1:49.98,5.8
HV_2009-1-14_3,5,3.0,NOBLE CONQUEROR (CG169),Z Purton,C Fownes,130,1174,6,1 2 2 2 5,1:50.16,6.1
HV_2009-1-14_3,6,1.0,EVER BRIGHT (CG223),M Du Plessis,P O'Sullivan,133,1108,5,7 7 7 7 6,1:50.35,32.0
HV_2009-1-14_3,7,4.0,EXPRESS WIN (CJ042),D Whyte,C H Yip,127,1151,1,3 3 3 3 7,1:50.47,5.1
HV_2009-1-14_4,1,7.0,ENGINEERING WONDER (CB300),D Whyte,L Ho,124,1105,7,9 7 1,1:10.79,6.1
HV_2009-1-14_4,2,12.0,SPEED FIGHTER (CD355),H W Lai,P F Yiu,116,1092,2,4 3 2,1:10.88,9.4
HV_2009-1-14_4,3,8.0,SEIZE THE DAY (CJ152),C W Wong,Y S Tsui,120,1012,8,3 4 3,1:11.13,24.0
