day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds,Running Position
ST_2008-1-12_1,1,6.0,FLORAL JOY II (CJ030),K L Chui,A S Cruz,121,1209,1,0:57.40,3.6,
ST_2008-1-12_1,2,13.0,TREASURE PLANET (CG117),W M Lai,P F Yiu,114,1019,10,0:57.70,8.1,
ST_2008-1-12_1,3,12.0,CLASSIC HORSE (CD378),Z Purton,T W Leung,118,1068,13,0:57.70,8.3,
ST_2008-1-12_1,4,11.0,MAGIC KING (CH182),D Beadman,A Schutz,118,1027,11,0:57.80,15.0,
ST_2008-1-12_1,5,1.0,OWNERS LAD (CG273),E Saint-Martin,C S Shum,132,1213,7,0:57.90,8.9,
ST_2008-1-12_1,6,2.0,JADE DANCER (CE170),S K Sit,D J Hall,126,1157,14,0:58.10,39.0,
ST_2008-1-12_1,7,10.0,SUPER CEE JAY (CG289),P H Lo,Y S Tsui,116,1123,2,0:58.20,39.0,
ST_2008-1-12_1,8,9.0,PEARL HALO (CJ023),G Boss,P O'Sullivan,123,1034,12,0:58.30,4.3,
ST_2008-1-12_1,9,14.0,EXCELLENT PLASTIC (CH263),M W Leung,C H Yip,110,1034,6,0:58.50,99.0,
ST_2008-1-12_1,10,8.0,MASTER OF SHAVERS (CJ026),G Mosse,A Lee,126,1042,4,0:58.60,27.0,
ST_2008-1-12_1,11,7.0,GOLDEN TREASURE (CJ087),O Doleuze,J Size,126,1053,8,0:58.80,14.0,
ST_2008-1-12_1,12,5.0,ELEPHANT STAR (CH323),M Nunes,T K Ng,126,1035,5,0:59.30,60.0,
ST_2008-1-12_1,13,3.0,AIPODER IMAGE (CJ031),H W Lai,L Ho,123,995,9,1:00.00,34.0,
ST_2008-1-12_1,14,4.0,ATTENTIVE RUNNER (CH156),D Whyte,K W Lui,126,1210,3,1:00.40,13.0,
ST_2008-1-12_10,1,1.0,O'REILLY RALLY (CH266),B Prebble,A S Cruz,133,1129,8,1:22.60,2.4,
ST_2008-1-12_10,2,11.0,BE MY SONG (CH272),S K Sit,P F Yiu,115,1196,11,1:22.80,66.0,
ST_2008-1-12_10,3,4.0,ALL TIME HIGH (CG285),K L Chui,A S Cruz,120,1262,4,1:22.90,14.0,
ST_2008-1-12_10,4,9.0,KING PRAWN SUPREME (CJ076),D Whyte,J Size,120,1177,2,1:23.00,4.0,
ST_2008-1-12_10,5,12.0,GOOD PARTNER (CE221),K T Yeung,K L Man,111,1130,6,1:23.00,25.0,
ST_2008-1-12_10,6,13.0,RELY ON ME (CE068),A Delpech,D Cruz,116,1229,5,1:23.10,73.0,
ST_2008-1-12_10,7,5.0,MAGIC SWEEP (CH299),G Boss,D E Ferraris,125,1078,1,1:23.20,13.0,
ST_2008-1-12_10,8,2.0,TRIUMPHANT DIAMOND (CG227),E Saint-Martin,C S Shum,127,1094,9,1:23.30,18.0,
ST_2008-1-12_10,9,10.0,WINBO (CJ085),D Beadman,C H Yip,119,1050,7,1:23.30,8.2,
ST_2008-1-12_10,10,3.0,CAGA BOY (CG060),M Nunes,K W Lui,126,1165,12,1:23.30,28.0,
ST_2008-1-12_10,11,8.0,AMBITIOUS OWNER (CJ106),W M Lai,C S Shum,118,1004,14,1:23.40,99.0,
ST_2008-1-12_10,12,7.0,GOAL KEEPER (CH277),G Mosse,P O'Sullivan,123,1189,13,1:23.60,14.0,
ST_2008-1-12_10,13,6.0,HAPPY GO LUCKY (CH127),O Doleuze,C Fownes,124,1134,10,1:23.80,24.0,
ST_2008-1-12_10,14,14.0,MAGIC TOUCH (CB394),H W Lai,L Ho,112,1135,3,1:24.20,99.0,
ST_2008-1-12_2,1,5.0,SUPER PEGASUS (CH141),D Whyte,D E Ferraris,121,1106,5,1:40.30,2.1,
ST_2008-1-12_2,2,8.0,THREE CLUBS (CG149),M Nunes,J Moore,115,1096,6,1:40.50,3.6,
ST_2008-1-12_2,3,2.0,WADADELIGHT (CC340),O Doleuze,T K Ng,127,1038,3,1:40.70,6.9,
ST_2008-1-12_2,4,1.0,LUCKY CHAMPION (CD178),H W Lai,Y O Wong,126,1101,8,1:41.00,10.0,
ST_2008-1-12_2,5,7.0,KING HESPERUS (CE151),G Boss,D E Ferraris,119,1146,7,1:41.10,14.0,
ST_2008-1-12_2,6,3.0,MAGIC TEMPLE (CC368),A Delpech,S Woods,122,1201,2,1:41.30,8.8,
ST_2008-1-12_2,7,6.0,BODACIOUS (CD170),K L Chui,D J Hall,114,1049,4,1:41.80,38.0,
ST_2008-1-12_2,8,4.0,EVERGREEN (CE106),W M Lai,C H Yip,119,1188,1,1:42.40,71.0,
ST_2008-1-12_3,1,11.0,ISLAND SUNRISE (CE276),K L Chui,A S Cruz,113,1082,13,1:22.00,2.5,
ST_2008-1-12_3,2,4.0,ISTIDE (CJ089),E Saint-Martin,C S Shum,127,953,5,1:22.30,8.3,
ST_2008-1-12_3,3,10.0,JUGGERNAUT (CJ019),M Nunes,S Woods,121,1187,3,1:22.30,84.0,
ST_2008-1-12_3,4,1.0,JOLLY WONGCHOY (CH076),D Whyte,Y O Wong,133,1126,2,1:22.40,7.2,
ST_2008-1-12_3,5,5.0,BOUNCER (CJ074),G Boss,C Fownes,126,1163,1,1:22.70,3.2,
ST_2008-1-12_3,6,9.0,FANTASTIC TIME (CH220),Z Purton,B K Ng,122,1026,8,1:22.70,80.0,
ST_2008-1-12_3,7,8.0,TRIUMPHANT ECHO (CJ006),B Prebble,P O'Sullivan,126,1158,6,1:22.90,15.0,
ST_2008-1-12_3,8,3.0,MY PRIDE (CG017),P H Lo,Y S Tsui,123,1136,14,1:23.00,72.0,
ST_2008-1-12_3,9,2.0,BRILLIANT TREASURE (CH045),A Delpech,J Size,130,1202,12,1:23.10,12.0,
ST_2008-1-12_3,10,14.0,ALWAYS ZIETEN (CB090),H W Lai,L Ho,111,1132,11,1:23.30,67.0,
ST_2008-1-12_3,11,6.0,LITTLE BIG BOY (CJ012),G Mosse,D E Ferraris,126,1122,4,1:23.30,62.0,
ST_2008-1-12_3,12,12.0,KEEP SMILING (CH200),M W Leung,J Moore,112,1180,9,1:23.50,99.0,
ST_2008-1-12_3,13,7.0,OSCAR PRINCE (CJ052),O Doleuze,A Schutz,126,1109,10,1:23.70,41.0,
ST_2008-1-12_3,14,13.0,TELECOM PERFECT (CH121),W M Lai,K W Lui,114,1111,7,1:24.20,99.0,
ST_2008-1-12_4,1,12.0,SILVER WRAITH (CE178),H W Lai,Y S Tsui,119,999,1,1:22.60,11.0,
ST_2008-1-12_4,2,13.0,FILEBO (CE214),Z Purton,T W Leung,120,963,5,1:22.90,22.0,
ST_2008-1-12_4,3,11.0,RAMPANT LION (CH068),D Beadman,C Fownes,122,1013,14,1:23.00,17.0,
ST_2008-1-12_4,4,8.0,NAMJONG SKY (CH129),E Saint-Martin,D J Hall,125,1152,12,1:23.00,11.0,
ST_2008-1-12_4,5,14.0,UNIVERSAL PIONEER (CB293),W M Lai,C S Shum,112,1134,11,1:23.00,50.0,
ST_2008-1-12_4,6,3.0,ABLE STANDARD (CG043),D Whyte,K W Lui,129,1063,3,1:23.00,4.0,
ST_2008-1-12_4,7,5.0,SIMPLY JOY (CH052),B Prebble,C W Chang,128,1063,4,1:23.10,6.2,
ST_2008-1-12_4,8,1.0,PALIO KING (CG073),G Mosse,A Lee,130,1123,8,1:23.30,11.0,
ST_2008-1-12_4,9,2.0,WATCHMAN (CB327),K T Yeung,B K Ng,123,1120,7,1:23.50,36.0,
ST_2008-1-12_4,10,6.0,WITHALLMYHEART (CE268),P H Lo,T K Ng,121,1132,9,1:23.50,6.6,
ST_2008-1-12_4,11,9.0,MACAROON (CG238),O Doleuze,D E Ferraris,124,916,13,1:23.60,40.0,
ST_2008-1-12_4,12,7.0,SUPER RED (CG230),K L Chui,A S Cruz,122,1060,6,1:23.70,23.0,
ST_2008-1-12_4,13,10.0,FAST WINNER (CG140),M W Leung,A Schutz,117,1064,2,1:23.70,12.0,
ST_2008-1-12_4,PU,4.0,GLOBE RIVER (CD228),G Boss,P F Yiu,128,1109,10,---,11.0,
ST_2008-1-12_5,1,12.0,BEAUTIFUL CHOICE (CH130),A Delpech,Y S Tsui,117,1107,6,1:22.50,5.4,
ST_2008-1-12_5,2,1.0,DEERFIELD (CG038),D Whyte,Y O Wong,131,1134,1,1:22.60,2.5,
ST_2008-1-12_5,3,14.0,KA KA SMART (CG042),S K Sit,C W Chang,112,1100,5,1:22.60,15.0,
ST_2008-1-12_5,4,2.0,BUCCANEER (CH214),E Saint-Martin,A Schutz,128,1033,10,1:22.60,9.2,
ST_2008-1-12_5,5,11.0,SHATIN WIN WIN (CE284),W M Lai,P F Yiu,118,1065,7,1:22.80,15.0,
ST_2008-1-12_5,6,13.0,TRIUMPHANT GLORY (CB368),P H Lo,T K Ng,110,1087,2,1:23.10,78.0,
ST_2008-1-12_5,7,4.0,REAL PLEASURE (CJ021),G Mosse,A Lee,126,1200,9,1:23.30,7.4,
ST_2008-1-12_5,8,5.0,MOSHI MOSHI (CG255),D Beadman,J Moore,124,1079,3,1:23.40,5.9,
ST_2008-1-12_5,9,6.0,SURE GAIN (CJ038),M W Leung,C H Yip,119,980,11,1:23.40,99.0,
ST_2008-1-12_5,10,3.0,LOHAN (CH279),Z Purton,B K Ng,126,1073,4,1:23.50,99.0,
ST_2008-1-12_5,11,7.0,WINNING AHEAD (CJ018),M Nunes,A T Millard,124,1092,13,1:23.50,99.0,
ST_2008-1-12_5,12,10.0,HEART TO HEART (CH160),H W Lai,C S Shum,117,1191,14,1:23.60,99.0,
ST_2008-1-12_5,13,9.0,TELECOM SIR (CH217),O Doleuze,S Woods,122,1148,8,1:24.70,63.0,
ST_2008-1-12_5,14,8.0,PRIMIATA (CG226),B Prebble,K L Man,123,1068,12,1:25.90,32.0,
ST_2008-1-12_6,1,7.0,AMAZING CHOICE (CG163),D Whyte,D E Ferraris,121,1033,4,2:03.40,7.3,
ST_2008-1-12_6,2,4.0,ELEPHANT DANCE (CA391),O Doleuze,T K Ng,123,1126,13,2:03.40,26.0,
ST_2008-1-12_6,3,8.0,HAPPY HEROES (CD261),K L Chui,C W Chang,116,1168,6,2:03.70,18.0,
ST_2008-1-12_6,4,11.0,ROCKALOT (CH163),G Boss,P F Yiu,118,971,2,2:03.80,2.0,
ST_2008-1-12_6,5,5.0,SOARING DRAGON (CH183),G Mosse,A Schutz,123,1158,8,2:03.80,63.0,
ST_2008-1-12_6,6,13.0,BARRACUDA (CB320),H W Lai,A Lee,111,1113,9,2:03.90,17.0,
ST_2008-1-12_6,7,6.0,ABLE KNIGHT (CE079),D Beadman,J Moore,122,981,3,2:04.30,7.2,
ST_2008-1-12_6,8,3.0,DASH (CG236),W M Lai,C H Yip,124,1059,10,2:04.30,54.0,
ST_2008-1-12_6,9,2.0,SAMBUOYANT (CE172),B Prebble,P O'Sullivan,129,1242,11,2:04.30,22.0,
ST_2008-1-12_6,10,10.0,TRAVEL LEADER (CD226),P H Lo,D Cruz,112,1186,14,2:04.30,31.0,
ST_2008-1-12_6,11,9.0,SOMETHING SPECIAL (CJ014),A Delpech,A T Millard,120,1080,5,2:04.50,16.0,
ST_2008-1-12_6,12,12.0,DASHING WINNER (CA018),Z Purton,B K Ng,118,1141,1,2:04.60,43.0,
ST_2008-1-12_6,13,14.0,COME HO CHOI (CE082),M W Leung,T W Leung,108,1098,7,2:04.60,25.0,
ST_2008-1-12_6,14,1.0,RED WINE HONEY (CE287),E Saint-Martin,C S Shum,129,1211,12,2:04.60,14.0,
ST_2008-1-12_7,1,5.0,TAIJI SPIRIT (CD185),G Mosse,A T Millard,123,1158,1,1:08.90,6.2,
ST_2008-1-12_7,2,7.0,SIAMERIC TE SPECSO (CE171),B Prebble,D J Hall,121,1126,10,1:08.90,9.8,
ST_2008-1-12_7,3,3.0,PICKETT (CG155),P H Lo,C W Chang,124,1038,8,1:09.00,4.4,
ST_2008-1-12_7,4,1.0,GENERAL DANSKE (CG296),H W Lai,K W Lui,129,1140,4,1:09.10,5.3,
ST_2008-1-12_7,5,11.0,SUPREMACY (CD315),A Delpech,D E Ferraris,115,1090,3,1:09.20,10.0,
ST_2008-1-12_7,6,9.0,BRILLIANT ONE (CG212),D Whyte,J Size,116,1050,2,1:09.50,18.0,
ST_2008-1-12_7,7,8.0,ROCKET POWER (CH136),K L Chui,A S Cruz,114,1121,6,1:09.80,7.5,
ST_2008-1-12_7,8,6.0,TREASURABLE (CH017),K T Yeung,P O'Sullivan,116,1018,7,1:10.20,4.8,
ST_2008-1-12_7,9,4.0,MR COOL (CD071),O Doleuze,K L Man,129,1112,11,1:10.60,63.0,
ST_2008-1-12_7,10,2.0,NORDIC STAR (CH302),S K Sit,Y O Wong,130,1158,9,1:11.40,51.0,
ST_2008-1-12_7,11,10.0,GO BRITANNIA (CJ084),M W Leung,J Moore,110,1025,5,1:11.90,64.0,
ST_2008-1-12_8,1,6.0,WATCH WHAT HAPPENS (CH145),D Whyte,S Woods,124,1045,11,1:38.60,3.5,
ST_2008-1-12_8,2,7.0,KIMBO KID (CC379),K L Chui,A S Cruz,117,1078,3,1:38.70,8.0,
ST_2008-1-12_8,3,4.0,WHATABOB (CD213),D Beadman,J Moore,128,1189,4,1:38.80,8.4,
ST_2008-1-12_8,4,1.0,GREAT ACHIEVEMENT (CD250),B Prebble,K L Man,132,1141,7,1:38.90,14.0,
ST_2008-1-12_8,5,2.0,TOP HONOR (CE183),G Mosse,A Lee,130,1026,9,1:39.00,5.7,
ST_2008-1-12_8,6,10.0,ROCKET WIN (CE249),W M Lai,P F Yiu,116,1059,10,1:39.30,11.0,
ST_2008-1-12_8,7,12.0,CALIFORNIA BISHOP (CD351),S K Sit,A S Cruz,112,1135,13,1:39.30,50.0,
ST_2008-1-12_8,8,8.0,ALBERTINELLI (CH111),M Nunes,K W Lui,121,1238,6,1:39.50,21.0,
ST_2008-1-12_8,9,11.0,AMPLE GAINS (CE021),H W Lai,K L Man,114,1130,12,1:39.60,14.0,
ST_2008-1-12_8,10,5.0,TIME SUPREME (CE012),Z Purton,C Fownes,125,1043,2,1:39.90,30.0,
ST_2008-1-12_8,11,9.0,GLOBAL WIN (CG109),A Delpech,D E Ferraris,121,1176,8,1:40.10,19.0,
ST_2008-1-12_8,12,3.0,GOOD NATURE (CE153),E Saint-Martin,P O'Sullivan,128,1149,1,1:40.20,67.0,
ST_2008-1-12_8,13,13.0,INDUSTRIAL MARVEL (CG188),M W Leung,C H Yip,108,1061,5,1:41.30,8.7,
ST_2008-1-12_9,1,10.0,HANDSOME TARGET (CH269),B Prebble,D J Hall,118,1060,4,1:22.30,3.3,
ST_2008-1-12_9,2,9.0,FAVOURITE SUPREME (CH203),E Saint-Martin,C S Shum,119,1045,10,1:22.30,7.2,
ST_2008-1-12_9,3,8.0,WIN A DOZEN (CH262),K T Yeung,K L Man,114,1103,8,1:22.40,79.0,
ST_2008-1-12_9,4,5.0,CRAIG'S DRAGON (CH131),D Beadman,J Moore,124,1202,3,1:22.50,3.0,
ST_2008-1-12_9,5,6.0,SUPER SNIPPETS (CG217),O Doleuze,P O'Sullivan,124,1113,13,1:22.60,13.0,
ST_2008-1-12_9,6,7.0,THUNDER DANCING (CG250),H W Lai,Y S Tsui,120,1095,1,1:22.70,7.8,
ST_2008-1-12_9,7,4.0,MAINLAND SHUTTLE (CG315),G Mosse,A Lee,126,1125,2,1:22.70,19.0,
ST_2008-1-12_9,8,12.0,WELL NOTED (CG313),M Nunes,S Woods,115,1189,12,1:22.80,18.0,
ST_2008-1-12_9,9,1.0,MARIBEAU (CH213),D Whyte,J Size,133,1122,6,1:22.80,10.0,
ST_2008-1-12_9,10,3.0,HERE WE GO (CH247),K L Chui,A S Cruz,124,1168,9,1:23.10,87.0,
ST_2008-1-12_9,11,11.0,LADY FIRST (CJ067),M W Leung,T W Leung,111,1056,11,1:23.10,99.0,
ST_2008-1-12_9,12,2.0,MASSIVE STAR (CJ126),W M Lai,C H Yip,128,1145,7,1:23.90,66.0,
ST_2008-1-12_9,13,13.0,BLUE SAINT (CJ080),S K Sit,L Ho,112,1058,5,1:24.80,99.0,
ST_2008-1-1_1,1,3.0,FASTER FASTER (CG010),C Soumillon,D E Ferraris,129,1245,6,1:10.60,6.6,
ST_2008-1-1_1,2,4.0,NAMJONG SKY (CH129),B Prebble,D J Hall,126,1144,7,1:10.70,5.7,
ST_2008-1-1_1,3 DH,2.0,PALIO KING (CG073),G Mosse,A Lee,132,1115,4,1:10.80,5.3,
ST_2008-1-1_1,3 DH,11.0,MUTUAL GAIN (CE275),M W Leung,T W Leung,112,1074,5,1:10.80,9.7,
ST_2008-1-1_1,5,12.0,AMBITION (CC079),W M Lai,K W Lui,113,1072,3,1:11.10,13.0,
ST_2008-1-1_1,6,8.0,MASTER YING (CB249),E Saint-Martin,T K Ng,120,1171,8,1:11.20,6.6,
ST_2008-1-1_1,7,9.0,UNIVERSAL PIONEER (CB293),C K Tong,C S Shum,114,1154,10,1:11.40,11.0,
ST_2008-1-1_1,8,5.0,STEP FORWARD (CB166),K T Yeung,A Schutz,116,1120,9,1:11.50,63.0,
ST_2008-1-1_1,9,7.0,SIMPLY THE BEST (CE014),P H Lo,D Cruz,115,1138,12,1:11.60,55.0,
ST_2008-1-1_1,10,10.0,LUCKY MAN (CG061),Z Purton,T K Ng,118,1163,2,1:12.50,34.0,
ST_2008-1-1_1,11,1.0,DIAGHILEV (CH241),K L Chui,A Schutz,127,1083,1,1:12.60,7.4,
ST_2008-1-1_1,12,6.0,MAJIN BUU (CC334),D Whyte,Y S Tsui,122,1088,11,1:12.80,11.0,
ST_2008-1-1_10,1,11.0,POCKET MONEY (CE253),F Coetzee,J Size,116,1035,10,1:21.70,8.3,
ST_2008-1-1_10,2,2.0,DOWN TOWN (CG054),C W Wong,C H Yip,126,1121,13,1:21.80,39.0,
ST_2008-1-1_10,3,1.0,FLORAL PEGASUS (CG011),K L Chui,A S Cruz,128,1213,3,1:21.90,4.9,
ST_2008-1-1_10,4,7.0,RIVER JORDAN (CG194),D Beadman,J Moore,124,1121,7,1:22.00,6.6,
ST_2008-1-1_10,5,5.0,SUNNY POWER (CG203),C Soumillon,K W Lui,128,1082,1,1:22.10,3.8,
ST_2008-1-1_10,6,9.0,DANACOURT (CE228),D Whyte,J Moore,122,1016,5,1:22.10,15.0,
ST_2008-1-1_10,7,3.0,JOYFUL WINNER (CE045),G Mosse,J Moore,131,1097,9,1:22.10,14.0,
ST_2008-1-1_10,8,6.0,VIVA MACAU (CH110),Z Purton,J Moore,126,1165,6,1:22.20,82.0,
ST_2008-1-1_10,9,10.0,FLAMING LAMBORGINI (CE146),E Saint-Martin,C S Shum,119,1069,12,1:22.30,12.0,
ST_2008-1-1_10,10,13.0,MY CHOICE (CC283),C K Tong,D J Hall,110,1133,11,1:22.40,43.0,
ST_2008-1-1_10,11,8.0,ROYAL PRINCE (CH072),B Prebble,A S Cruz,124,1223,2,1:22.60,6.9,
ST_2008-1-1_10,12,4.0,ABLE ONE (CG108),S Dye,J Moore,129,1168,8,1:22.70,28.0,
ST_2008-1-1_10,13,14.0,HELENE PILLAGING (CC084),M Nunes,S Woods,114,1210,4,1:22.80,99.0,
ST_2008-1-1_10,14,12.0,AMBITIOUS GENERAL (CJ066),W M Lai,D J Hall,113,1128,14,1:23.00,53.0,
ST_2008-1-1_11,1,6.0,CONGRATULATION (CH032),F Coetzee,J Size,121,1122,10,1:23.30,7.1,
ST_2008-1-1_11,2,4.0,OURAJA (CG214),B Prebble,D J Hall,126,1052,8,1:23.30,4.2,
ST_2008-1-1_11,3,2.0,SINGING DINERS (CH063),D Whyte,C S Shum,130,1178,1,1:23.30,2.9,
ST_2008-1-1_11,4,12.0,SUPER GENKI (CH195),K L Chui,A S Cruz,111,1150,2,1:23.50,17.0,
ST_2008-1-1_11,5,10.0,HAPPY MASTER (CE050),D Beadman,K L Man,118,1053,7,1:23.50,21.0,
ST_2008-1-1_11,6,11.0,WELL NOTED (CG313),M Nunes,S Woods,117,1177,3,1:23.70,30.0,
ST_2008-1-1_11,7,8.0,SCOOT DA LOOT (CH274),O Doleuze,A Schutz,121,964,13,1:23.80,8.9,
ST_2008-1-1_11,8,13.0,FUJIAN PRINCE (CE006),S K Sit,A T Millard,113,1127,6,1:23.80,99.0,
ST_2008-1-1_11,9,7.0,MUTUAL FRIENDSHIP (CG260),K T Yeung,A Lee,114,1043,9,1:23.80,7.1,
ST_2008-1-1_11,10,1.0,WISE LOVER (CE095),C Soumillon,Y O Wong,133,1141,12,1:24.00,22.0,
ST_2008-1-1_11,11,3.0,SUNBELL (CB391),P H Lo,D Cruz,121,1093,4,1:24.20,99.0,
ST_2008-1-1_11,12,5.0,EVERGREEN (CE106),W M Lai,C H Yip,121,1186,11,1:24.20,99.0,
ST_2008-1-1_11,13,9.0,VIVA FIGHTER (CG307),C K Tong,C Fownes,115,1132,14,1:24.20,22.0,
ST_2008-1-1_11,14,14.0,MAGIC TOUCH (CB394),H W Lai,L Ho,111,1132,5,1:24.30,99.0,
ST_2008-1-1_2,1,1.0,ACCELERATOR (CG179),C Soumillon,S Woods,133,933,7,1:36.40,3.7,
ST_2008-1-1_2,2,11.0,WAVY PEAK (CD083),G Boss,P F Yiu,118,1115,2,1:36.40,3.5,
ST_2008-1-1_2,3,5.0,DONGGUAN VICTORY (CB382),S K Sit,Y S Tsui,124,1063,6,1:36.90,25.0,
ST_2008-1-1_2,4,7.0,RISING WIN (CC089),M W Leung,T W Leung,118,1094,8,1:36.90,12.0,
ST_2008-1-1_2,5,2.0,PILLOW KING (CE291),O Doleuze,A Schutz,130,1072,12,1:37.00,33.0,
ST_2008-1-1_2,6,4.0,FANTASTIC WIN (CB188),P H Lo,Y S Tsui,120,1052,9,1:37.10,35.0,
ST_2008-1-1_2,7,8.0,STAR PRODIGY (CD294),C K Tong,C Fownes,118,1112,5,1:37.20,6.5,
ST_2008-1-1_2,8,12.0,SPEED OF LIGHT (CC333),F Coetzee,B K Ng,117,1129,4,1:37.20,9.0,
ST_2008-1-1_2,9,9.0,DANZIGMOUNTAIN (CG139),E Saint-Martin,C S Shum,120,1019,10,1:37.60,45.0,
ST_2008-1-1_2,10,6.0,VITALITY CHAMP (CD301),D Whyte,T K Ng,126,1155,3,1:37.60,7.9,
ST_2008-1-1_2,11,10.0,MULLAAD (CG259),M Nunes,D Cruz,118,1104,11,1:37.60,27.0,
ST_2008-1-1_2,12,13.0,FABULOUS TREASURE (CG069),K L Chui,A Schutz,108,1104,13,1:37.90,33.0,
ST_2008-1-1_2,13,3.0,TOP SPEED (CH019),W M Lai,K W Lui,128,1051,1,1:38.70,85.0,
ST_2008-1-1_3,1,4.0,LIVERBIRD (CE055),E Saint-Martin,C S Shum,129,1133,6,1:35.00,8.4,
ST_2008-1-1_3,2,6.0,KING OF FISH (CB105),D Beadman,K L Man,127,1140,13,1:35.40,10,
ST_2008-1-1_3,3,9.0,KEY WINNER (CG157),O Doleuze,A Schutz,121,1039,7,1:35.70,13,
ST_2008-1-1_3,4,14.0,ABLE STANDARD (CG043),M Nunes,K W Lui,114,1064,12,1:35.70,15,
ST_2008-1-1_3,5,3.0,CHAMPION PIONEER (CG305),G Mosse,A Lee,130,1061,11,1:35.90,5.4,
ST_2008-1-1_3,6,8.0,EXPEDITIOUS (CE136),K T Yeung,B K Ng,114,1108,1,1:36.20,8.2,
ST_2008-1-1_3,7,10.0,KINGSTON TEMPLE (CH234),W M Lai,T K Ng,118,1120,2,1:36.30,86,
ST_2008-1-1_3,8,12.0,ALWAYS ZIETEN (CB090),H W Lai,L Ho,113,1131,4,1:36.30,79,
ST_2008-1-1_3,9,13.0,NIGHT HUNTER III (CH102),Z Purton,T W Leung,118,1188,3,1:36.60,6.8,
ST_2008-1-1_3,10,5.0,EASY GAME (CC346),S Dye,P O'Sullivan,128,1099,10,1:36.70,25,
ST_2008-1-1_3,11,2.0,WONDERFUL BLESSING (CE198),K L Chui,D J Hall,127,1150,8,1:36.80,4,
ST_2008-1-1_3,12,11.0,PICTURE PERFECT (CD297),M W Leung,Y S Tsui,114,1141,9,1:37.70,13,
ST_2008-1-1_3,13,7.0,MIRACULOUS (CE115),C K Tong,D Cruz,122,1239,5,1:37.70,39,
ST_2008-1-1_3,WV,1.0,UNIQUE JEWELLERY (CH196),D Whyte,J Size,132,---,---,---,---,
ST_2008-1-1_4,1,1.0,MY HOME TOWN (CH331),D Whyte,J Size,129,1103,8,1:10.10,2.2,
ST_2008-1-1_4,2,14.0,OPTIC KING (CE139),H W Lai,B K Ng,110,1084,3,1:10.40,17,
ST_2008-1-1_4,3,2.0,NEW TRIUMPH (CG105),S K Sit,Y S Tsui,127,1135,11,1:10.50,67,
ST_2008-1-1_4,4,4.0,BOUNCER (CJ074),S Dye,C Fownes,123,1161,2,1:10.50,18,
ST_2008-1-1_4,5,10.0,MINGS' HERO (CJ011),G Boss,C H Yip,121,1087,1,1:10.50,7.5,
ST_2008-1-1_4,6,11.0,SUNNY GOLF (CH138),D Beadman,J Moore,119,1075,4,1:10.50,3.6,
ST_2008-1-1_4,7,12.0,MAGIC KING (CH182),C W Wong,A Schutz,112,1031,10,1:10.70,65,
ST_2008-1-1_4,8,5.0,CHINA LUJIA (CJ088),B Prebble,P O'Sullivan,123,1088,5,1:10.80,12,
ST_2008-1-1_4,9,13.0,TRIUMPHANT GLORY (CB368),W M Lai,T K Ng,112,1087,9,1:11.00,99,
ST_2008-1-1_4,10,9.0,CALIFORNIA HEART (CE078),K L Chui,A S Cruz,116,1120,7,1:11.00,43,
ST_2008-1-1_4,11,6.0,LITTLE BIG BOY (CJ012),F Coetzee,D E Ferraris,123,1138,6,1:11.00,39,
ST_2008-1-1_4,12,7.0,WINNING AHEAD (CJ018),M Nunes,A T Millard,123,1090,12,1:11.10,99,
ST_2008-1-1_4,13,3.0,MEDALLION (CG322),Z Purton,K W Lui,124,1110,13,1:11.60,12,
ST_2008-1-1_4,WV,8.0,TOWKAY FLYER (CJ036),G Mosse,A Lee,122,---,---,---,---,
ST_2008-1-1_5,1,6.0,GREAT SUPREME (CJ027),D Whyte,C H Yip,124,1201,5,1:22.80,8.2,
ST_2008-1-1_5,2,4.0,GALLANT WIN (CH028),G Boss,P O'Sullivan,127,1130,4,1:23.20,6.8,
ST_2008-1-1_5,3,10.0,FLYING KENNY (CC244),M W Leung,T W Leung,116,1140,13,1:23.20,13.0,
ST_2008-1-1_5,4,2.0,BRILLIANT TREASURE (CH045),F Coetzee,J Size,129,1197,7,1:23.30,13.0,
ST_2008-1-1_5,5,3.0,PALAIS D'OR (CH185),G Mosse,A Lee,129,1192,9,1:23.30,6.4,
ST_2008-1-1_5,6,12.0,BATURO (CH029),H W Lai,Y S Tsui,116,984,11,1:23.40,25.0,
ST_2008-1-1_5,7,13.0,SILLY BOY (CC094),M Nunes,A T Millard,115,1214,14,1:23.50,99.0,
ST_2008-1-1_5,8,5.0,CHEEKY LAD (CG198),O Doleuze,D J Hall,126,1125,8,1:23.50,22.0,
ST_2008-1-1_5,9,9.0,FANTASTIC TIME (CH220),Z Purton,B K Ng,122,1020,3,1:23.50,85.0,
ST_2008-1-1_5,10,8.0,WIN MORE (CH243),S Dye,C W Chang,124,1118,10,1:23.60,59.0,
ST_2008-1-1_5,11,1.0,STEEL NERVES (CG320),C Soumillon,A Schutz,132,1080,2,1:23.70,2.8,
ST_2008-1-1_5,12,11.0,GREAT HERO (CH016),B Prebble,K L Man,120,1111,1,1:23.80,15.0,
ST_2008-1-1_5,13,7.0,HELENE ELITE (CJ093),K L Chui,A S Cruz,119,1109,6,1:23.80,16.0,
