day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2000-1-12_1,1,4.0,CHOCOLATE TYCOON (BT257),E Legrix,A S Cruz,135,1153,1,1:50.90,35.0
HV_2000-1-12_1,2,6.0,MELROSE STAR (BS091),E Saint-Martin,L Ho,132,1051,5,1:51.00,4.6
HV_2000-1-12_1,3,10.0,BASKETBALL WINNER (BT041),B Marcus,T K Ng,126,1043,9,1:51.00,5.6
HV_2000-1-12_1,4,9.0,GREAT INTENT (BM198),P Smullen,W L Wong,128,1151,4,1:51.10,30.0
HV_2000-1-12_1,5,12.0,JUMBO LUCK (BT111),D Boeuf,K W Lui,126,1050,2,1:51.20,10.0
HV_2000-1-12_1,6,2.0,HIGH DEGREE (BS175),F Coetzee,A S Cruz,137,1120,8,1:51.40,6.0
HV_2000-1-12_1,7,7.0,MILLENNIUM STAR (BT138),D Harrison,P Chapple-Hyam,132,971,7,1:51.50,15.0
HV_2000-1-12_1,8,8.0,HAPPY TYCOON (BT115),K H Yu,B K Ng,126,1033,3,1:51.50,26.0
HV_2000-1-12_1,9,5.0,HEALTHY STAR (BN151),D Whyte,T P Wong,134,1099,6,1:51.70,8.2
HV_2000-1-12_1,10,3.0,SKY HAWK (BS070),Y T Cheng,P C Kan,127,945,10,1:52.00,5.7
HV_2000-1-12_1,11,1.0,CHEERS AGAIN (BP098),G Boss,K C Lo,137,1027,11,1:53.70,11.0
HV_2000-1-12_1,12,11.0,CADIZ (BT020),F Sanchez,D Hill,126,939,12,1:55.70,99.0
HV_2000-1-12_2,1,4.0,MUNDAHISH (BT250),D Boeuf,B K Ng,133,1079,4,1:11.10,6.4
HV_2000-1-12_2,2,9.0,FLYING HIGH (BL004),E Legrix,K W Lui,127,1162,3,1:11.10,14.0
HV_2000-1-12_2,3,6.0,CULLINAN (BV034),D Harrison,Y O Wong,128,1082,2,1:11.10,12.0
HV_2000-1-12_2,4,8.0,MERIDIAN STAR (BV177),B Marcus,D A Hayes,128,1043,6,1:11.10,9.4
HV_2000-1-12_2,5,11.0,COMFORT (BT156),S King,P F Yiu,121,1004,1,1:11.20,36.0
HV_2000-1-12_2,6,12.0,RISING GLORY (BN219),W M Lai,L Ho,113,1133,8,1:12.00,20.0
HV_2000-1-12_2,7,7.0,MASTER MERLIN (BN080),D Whyte,J Moore,128,1046,9,1:12.00,18.0
HV_2000-1-12_2,8,3.0,ACE ACADEMY (BT215),K H Yu,P F Yiu,128,992,7,1:12.10,6.0
HV_2000-1-12_2,9,1.0,GREENMORE (BT194),R Fradd,S T Wong,135,1049,5,1:12.20,3.5
HV_2000-1-12_2,10,2.0,GRANDSTAND (BP286),F Sanchez,T W Leung,134,1142,11,1:12.50,7.8
HV_2000-1-12_2,11,5.0,TERRIFIC SPIRIT (BT008),F Coetzee,A S Cruz,131,1100,12,1:12.70,13.0
HV_2000-1-12_2,12,10.0,GAGNANT (BT161),P Smullen,K C Lo,125,1044,10,1:13.20,52.0
HV_2000-1-12_3,1,1.0,CLASSIC JESTER (BP208),C M Ho,I W Allan,121,1008,7,0:57.90,6.7
HV_2000-1-12_3,2,4.0,MIGHTY AND GOLD (BT271),Y T Cheng,P C Kan,118,1122,10,0:58.00,8.3
HV_2000-1-12_3,3,8.0,HONG KONG LEGEND (BN035),R Fradd,J Moore,122,1042,1,0:58.10,4.6
HV_2000-1-12_3,4,9.0,SAI KUNG STAR (BP299),C P Ting,L Ho,110,1032,3,0:58.30,27.0
HV_2000-1-12_3,5,12.0,CITIHUNTER (BT017),D Harrison,I W Allan,117,1041,9,0:58.30,4.9
HV_2000-1-12_3,6,5.0,HEAVENLY WIND (BP313),E Legrix,G Lane,124,1080,6,0:58.50,4.7
HV_2000-1-12_3,7,11.0,SIGHT FIRST (BT280),B Doyle,T W Leung,119,1009,2,0:58.50,11.0
HV_2000-1-12_3,8,6.0,GOOD SPIRIT (BS246),D Boeuf,K W Lui,123,1057,5,0:58.60,20.0
HV_2000-1-12_3,9,10.0,WINNING MASCOT (BT105),K S Yu,P F Yiu,120,1055,12,0:58.80,40.0
HV_2000-1-12_3,10,2.0,HUANGDI (BV154),W S Yu,I W Allan,122,973,8,0:59.10,38.0
HV_2000-1-12_3,11,3.0,WOODSIDE PARK (BP077),P Smullen,D Hill,129,1179,11,0:59.40,23.0
HV_2000-1-12_3,12,7.0,THE MAGATON (BV016),K H Yu,P F Yiu,118,1101,4,1:00.50,19.0
HV_2000-1-12_4,1,1.0,DANZIGHILL (BN190),F Coetzee,A S Cruz,131,1068,7,1:39.30,16
HV_2000-1-12_4,2,9.0,INDUSTRIALIST (BV064),J Quinn,P C Kan,115,1059,8,1:39.30,5.1
HV_2000-1-12_4,3,6.0,SWEETHEART (BS099),E Legrix,D Cruz,121,1133,4,1:39.50,10
HV_2000-1-12_4,4,11.0,EN RAPPORT (BP122),R Fradd,L Fownes,115,1136,2,1:39.60,11
HV_2000-1-12_4,5,5.0,MAN OF HONOUR (BS267),K Fallon,I W Allan,122,1068,3,1:39.70,5.7
HV_2000-1-12_4,6,2.0,KENWOOD MELODY (BV014),B Marcus,D A Hayes,129,1040,1,1:39.80,3.1
HV_2000-1-12_4,7,10.0,CUPID (BV043),F Sanchez,D Hill,116,1011,6,1:39.90,30
HV_2000-1-12_4,8,4.0,AIPODER (BP112),Y T Cheng,D A Hayes,112,1085,9,1:40.10,11
