day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2001-1-10_1,1,13.0,CORE PRINCIPLES (BS229),C Brown,Y O Wong,117,1065,5,0:58.70,8.4
HV_2001-1-10_1,2,14.0,SUPER CONNECTIONS (BP127),K H Ting,P C Kan,114,1087,9,0:58.70,17.0
HV_2001-1-10_1,3,6.0,WINWIN COMBINATION (BP340),W Woods,L Fownes,130,1121,6,0:59.00,6.2
HV_2001-1-10_1,4,4.0,STERLING CHANCE (BP115),E Legrix,B K Ng,131,1218,14,0:59.00,6.2
HV_2001-1-10_1,5,12.0,PROLIFIC WINNER (BT179),D Bonilla,P C Kan,119,1041,7,0:59.20,36.0
HV_2001-1-10_1,6,9.0,GOLD FLASK (BS221),J Egan,T W Leung,123,1072,2,0:59.30,11.0
HV_2001-1-10_1,7 DH,5.0,QUICK COMMANDER (BS225),Y T Cheng,P F Yiu,127,1041,1,0:59.50,19.0
HV_2001-1-10_1,7 DH,8.0,SHAXI TREASURE (BN065),E Saint-Martin,K W Lui,125,1041,11,0:59.50,7.9
HV_2001-1-10_1,9,7.0,STARLIGHT SUPREME (BT262),M de Montfort,T W Leung,126,1074,10,0:59.50,35.0
HV_2001-1-10_1,10,2.0,EASY WAY (BS100),S King,T P Cheung,132,1057,12,0:59.60,6.3
HV_2001-1-10_1,11,1.0,PERFECT CHOICE (BV326),K C Tsang,T K Ng,129,1172,8,0:59.80,73.0
HV_2001-1-10_1,12,3.0,HORSE OF HEALTHY (BV171),R Fradd,L Ho,131,1037,3,0:59.80,16.0
HV_2001-1-10_1,13,10.0,CITY COMMANDER (BT034),K S Yu,T P Wong,119,922,4,0:59.80,14.0
HV_2001-1-10_1,14,11.0,PROFIT MASTER (BV103),D Whyte,T P Wong,119,975,13,0:59.90,10.0
HV_2001-1-10_2,1,12.0,SUPER FAST (BV327),F Coetzee,A S Cruz,119,1112,1,0:57.90,12
HV_2001-1-10_2,2,14.0,STAR DRAGON (BV078),K C Tsang,L Fownes,111,1059,5,0:58.20,14
HV_2001-1-10_2,3,4.0,AFFAIRE D'AMOUR (BV139),E Legrix,D Cruz,123,1028,2,0:58.30,4.7
HV_2001-1-10_2,4,5.0,CAPITAL STAR (BT083),J Egan,P Chapple-Hyam,123,972,11,0:58.30,16
HV_2001-1-10_2,5,2.0,FOREVER VICTORY (BS011),D Whyte,Y O Wong,126,1202,9,0:58.50,4.1
HV_2001-1-10_2,6,13.0,GOOD SPIRIT (BS246),S King,T P Cheung,118,1049,6,0:58.70,20
HV_2001-1-10_2,7,10.0,MY FAVOURITE (CA125),D Bonilla,P C Kan,121,1007,10,0:58.80,99
HV_2001-1-10_2,8,11.0,JUST WIN (BV312),K S Yu,T W Leung,119,1004,12,0:59.00,14
HV_2001-1-10_2,9,1.0,HANDBAG'S HONOUR (BT015),E Saint-Martin,T K Ng,128,1024,4,0:59.10,16
HV_2001-1-10_2,10,3.0,CLEVER CITATION (BV303),R Fradd,I W Allan,124,1120,8,0:59.10,19
HV_2001-1-10_2,11,6.0,GOLD RUSH (CA140),S Dye,D A Hayes,123,1132,3,0:59.20,3.5
HV_2001-1-10_2,12,8.0,GLORIOUS WINNER (CA083),S K Sit,L Ho,118,1050,7,1:00.30,99
HV_2001-1-10_2,13,9.0,GOD'S WILL (CA130),W C Marwing,A T Millard,121,1118,13,1:01.10,49
HV_2001-1-10_2,WV,7.0,DARWIN (CA068),W Woods,G Lane,121,---,---,---,---
HV_2001-1-10_3,1,12.0,CROWN REGENT (BS034),W Woods,L Fownes,125,1205,1,1:43.40,6.5
HV_2001-1-10_3,2,10.0,CIGAR KING (BS044),G Mosse,P C Kan,127,986,2,1:43.60,4.3
HV_2001-1-10_3,3,11.0,HOLLYWOOD STAR (BS078),R Fradd,T W Leung,126,949,3,1:43.70,6.8
HV_2001-1-10_3,4,6.0,BEST NEWS (BT177),W C Marwing,A T Millard,132,1078,13,1:43.90,12.0
HV_2001-1-10_3,5,14.0,FAIR COMMENT (BT170),K H Ting,Y O Wong,113,1062,14,1:43.90,99.0
HV_2001-1-10_3,6,3.0,EVER GAIN (BT094),E Saint-Martin,W L Wong,134,1081,6,1:44.00,6.2
HV_2001-1-10_3,7,1.0,FURIOSO (BN248),C H Tse,A S Cruz,129,1080,7,1:44.00,12.0
HV_2001-1-10_3,8,9.0,CASH FORTUNE (BM188),S King,B Hutchison,127,1113,4,1:44.10,15.0
HV_2001-1-10_3,9,2.0,WINNING STAR (BV120),E Legrix,L Ho,135,1023,8,1:44.30,15.0
HV_2001-1-10_3,10,4.0,HAPPY TYCOON (BT115),Y T Cheng,B K Ng,131,1052,12,1:44.30,19.0
HV_2001-1-10_3,11,13.0,LEOPARD (BV084),D Bonilla,P F Yiu,121,1087,5,1:44.50,99.0
HV_2001-1-10_3,12,5.0,PINE GLORY (BT047),D Whyte,T P Wong,134,1064,10,1:45.40,14.0
HV_2001-1-10_3,13,8.0,POPULAR ACCLAIM (BP258),J Egan,P Chapple-Hyam,129,1051,9,1:45.40,15.0
HV_2001-1-10_3,14,7.0,SPEEDY RUNNER (BS135),C Brown,K W Lui,131,953,11,1:46.00,41.0
HV_2001-1-10_4,1,2.0,ABLE WIN (BV311),J Egan,J Moore,134,965,8,1:42.60,8.2
HV_2001-1-10_4,2,14.0,MILLENNIUM LEGEND (BV246),K H Ting,P C Kan,113,984,9,1:42.60,7.7
HV_2001-1-10_4,3,13.0,SPLENDID BO BO (BV287),K S Yu,I W Allan,116,1076,5,1:42.60,53.0
HV_2001-1-10_4,4,10.0,TOP PRACTITIONER (BM131),W Woods,L Fownes,125,1092,4,1:42.60,11.0
HV_2001-1-10_4,5,11.0,BELOVED PARTNER (BV022),M de Montfort,T W Leung,122,1080,3,1:42.90,7.7
HV_2001-1-10_4,6,4.0,EXPLOSIVE POWER (BV129),C H Tse,A S Cruz,127,1029,1,1:43.10,8.3
HV_2001-1-10_4,7,8.0,KOWLOON JAZZ (BP048),E Saint-Martin,D Hill,129,1116,2,1:43.20,14.0
HV_2001-1-10_4,8,7.0,SPECTACULAR TALK (BV088),W C Marwing,P F Yiu,131,1030,13,1:43.60,5.9
HV_2001-1-10_4,9,9.0,TEAM TONIC (BV174),R Fradd,T K Ng,125,1107,7,1:43.70,87.0
HV_2001-1-10_4,10,1.0,LEGEND'S GLORY (BV329),D Whyte,S T Wong,135,1142,6,1:43.80,4.7
HV_2001-1-10_4,11,6.0,ME FIRST (BS236),S K Sit,K W Lui,128,1084,11,1:43.90,36.0
HV_2001-1-10_4,12,12.0,BOLD VICTORY (BS023),E Legrix,K C Lo,119,1032,10,1:43.90,21.0
HV_2001-1-10_4,13,3.0,EMPIRE COURT (BT189),K C Tsang,T P Wong,129,1122,14,1:44.30,14.0
HV_2001-1-10_4,14,5.0,INDIAN TAIPAN (CA098),S King,B Hutchison,134,1089,12,1:45.00,99.0
HV_2001-1-10_5,1,11.0,JET JACKSON (BT157),R Fradd,J Moore,119,965,5,1:11.40,12.0
HV_2001-1-10_5,2,12.0,HANDSOME MAN (BS012),S K Sit,T W Leung,113,1019,8,1:11.60,15.0
HV_2001-1-10_5,3,1.0,GOLDEN FARM (CA069),Y T Cheng,L Ho,125,1047,9,1:11.70,3.4
HV_2001-1-10_5,4,7.0,ARROWMINT (BN011),J Egan,T K Ng,122,1060,1,1:11.80,14.0
HV_2001-1-10_5,5,5.0,ZINEDINE (BT242),E Legrix,D Cruz,124,1017,10,1:12.00,19.0
HV_2001-1-10_5,6,6.0,AMERICAN WIN (BV065),D Whyte,D Oughton,122,1055,3,1:12.00,7.0
HV_2001-1-10_5,7,10.0,JUST ON (BT282),S King,K W Lui,121,1065,6,1:12.10,6.7
HV_2001-1-10_5,8,9.0,POWER OF SUCCESS (CA096),S Dye,B Hutchison,122,1056,2,1:12.20,13.0
HV_2001-1-10_5,9,2.0,SIR GALWAY (BP018),G Mosse,P C Kan,127,1115,4,1:12.20,7.6
HV_2001-1-10_5,10,3.0,D'OR WIN (CA092),F Coetzee,A S Cruz,124,1142,12,1:12.30,16.0
HV_2001-1-10_5,11,4.0,DON'T PANIC (BV334),C Brown,G Lane,124,1019,7,1:12.40,10.0
HV_2001-1-10_5,12,8.0,MEGA-FIGHTER (BV080),D Bonilla,P F Yiu,122,1087,11,1:13.70,99.0
HV_2001-1-10_6,1,6.0,MY CHIEF (BV044),S Dye,B Hutchison,126,1137,6,1:10.70,7.9
HV_2001-1-10_6,2,4.0,SUPER GOAL STRIKER (BV173),F Coetzee,A S Cruz,128,1017,11,1:10.70,16.0
HV_2001-1-10_6,3,10.0,PROSPERO (BT275),D Whyte,Y O Wong,122,1218,7,1:10.90,3.1
HV_2001-1-10_6,4,11.0,MY HONOUR (BT205),E Legrix,D Cruz,121,1090,12,1:11.10,6.7
HV_2001-1-10_6,5,9.0,ACE OF PACE (BV131),W C Marwing,P F Yiu,123,982,4,1:11.20,9.3
HV_2001-1-10_6,6,8.0,GOLD CHARM (BV085),W Woods,L Fownes,124,1085,9,1:11.20,7.2
HV_2001-1-10_6,7,7.0,DELIGHTFUL SPECIAL (BP147),K S Yu,T P Wong,125,1155,8,1:11.30,43.0
HV_2001-1-10_6,8,3.0,THE OSCARS (BP287),J Egan,T K Ng,129,1119,5,1:11.30,22.0
HV_2001-1-10_6,9,12.0,HIN YUEN'S UNICORN (BS319),K H Ting,P C Kan,115,1021,1,1:11.40,13.0
HV_2001-1-10_6,10,1.0,FLAMENCO STAR (BS321),E Saint-Martin,S T Wong,130,1076,3,1:11.40,24.0
HV_2001-1-10_6,11,5.0,HONG KONG LEGEND (BN035),R Fradd,J Moore,127,1041,10,1:11.50,23.0
HV_2001-1-10_6,12,2.0,BEAS GLORY (BP046),S K Sit,K W Lui,126,1039,2,1:11.50,10.0
HV_2001-1-10_7,1,10.0,LOMOND'S FAY (BP303),Y T Cheng,T P Wong,125,1028,10,1:42.60,17
HV_2001-1-10_7,2,3.0,MANY HAPPY RETURNS (BP126),E Saint-Martin,L Ho,133,991,13,1:42.60,8.6
HV_2001-1-10_7,3,4.0,BORN DRAGON (BS215),W Woods,L Fownes,132,1044,3,1:42.70,3.9
HV_2001-1-10_7,4,12.0,DIAMOND AND GOLD (BP100),G Mosse,P C Kan,124,1099,7,1:43.00,6.8
HV_2001-1-10_7,5,7.0,VICTORY MOUNT (BP195),J Egan,J Moore,131,1104,1,1:43.00,30
HV_2001-1-10_7,6,5.0,GOLDEN DUKE (BN194),E Legrix,W L Wong,132,1035,12,1:43.20,19
HV_2001-1-10_7,7,11.0,REBEL LEADER (BV159),S King,G Lane,126,1140,9,1:43.20,4.6
HV_2001-1-10_7,8,1.0,HAPPY CHAMP (BS226),R Fradd,T K Ng,134,1151,6,1:43.30,12
HV_2001-1-10_7,9,9.0,KING OF JEWELRY (BP013),K H Ting,K C Lo,129,1054,14,1:43.40,27
HV_2001-1-10_7,10,2.0,KOWLOON PRIDE (BM035),C Brown,D Hill,134,1184,2,1:43.60,99
HV_2001-1-10_7,11,8.0,CONCERT STAR (BT004),F Coetzee,A S Cruz,129,1239,4,1:43.60,7.7
HV_2001-1-10_7,12,13.0,CRAIG'S PRIDE (BP213),S K Sit,P F Yiu,120,1119,5,1:43.70,99
HV_2001-1-10_7,13,6.0,FINANCIAL SUPREME (BT304),S Dye,D A Hayes,131,1003,11,1:43.90,16
HV_2001-1-10_7,14,14.0,ORIENTAL TREASURE (BT030),K S Yu,I W Allan,114,1109,8,1:45.30,79
HV_2001-1-10_7,WV,,FULL METAL JACKET (BS007),C H Tse,A S Cruz,127,---,---,---,---
HV_2001-1-17_1,1,8.0,BOLD'N POWER (BT068),S Dye,S T Wong,125,1192,2,0:58.20,3
HV_2001-1-17_1,2,11.0,SAI KUNG STAR (BP299),E Legrix,L Ho,122,1020,10,0:58.60,13
HV_2001-1-17_1,3,1.0,HEAVENLY WIND (BP313),W M Lai,D Cruz,131,1086,9,0:58.80,23
HV_2001-1-17_1,4 DH,3.0,TATTENHALL (BV053),K S Yu,T P Wong,131,1084,14,0:58.80,37
HV_2001-1-17_1,4 DH,5.0,SPOT ON (BT237),G Mosse,D A Hayes,128,1121,1,0:58.80,11
HV_2001-1-17_1,6,2.0,LANDLORD (BV091),K H Ting,P C Kan,131,997,11,0:58.90,23
HV_2001-1-17_1,7,13.0,PLATINUM EXPRESS (BV187),S King,D Cruz,114,1084,5,0:59.10,14
HV_2001-1-17_1,8,12.0,SPEEDY DRAGON (BP289),F Coetzee,K W Lui,117,1108,12,0:59.10,15
HV_2001-1-17_1,9,7.0,PROFITEER (BV333),J Egan,T W Leung,127,1017,3,0:59.10,84
HV_2001-1-17_1,10,6.0,AMITY (CA036),C Brown,D A Hayes,127,1016,13,0:59.10,31
HV_2001-1-17_1,11,4.0,HANDSOME FORTUNE (CA009),C Williams,B K Ng,130,1066,6,0:59.10,6.4
HV_2001-1-17_1,12,14.0,MILLENNIUM DAWN (BV168),R Fradd,L Ho,119,985,7,0:59.20,15
HV_2001-1-17_1,13,10.0,AFICIONADO (BV293),W Woods,L Fownes,123,1117,8,0:59.70,5.2
HV_2001-1-17_1,14,9.0,GRACE AND GLORY (CA042),Y T Cheng,K C Lo,121,1004,4,0:59.80,67
HV_2001-1-17_1,WV,,FAKEI FORTUNE (BT223),K C Tsang,T P Wong,108,---,---,---,---
HV_2001-1-17_2,1,6.0,SUPER CONNECTIONS (BP127),G Mosse,P C Kan,126,1090,4,1:11.70,8.4
HV_2001-1-17_2,2,4.0,SOUNDS GOOD (BT099),E Legrix,L Ho,130,1020,5,1:11.90,12.0
HV_2001-1-17_2,3,1.0,REFRESHINGLY (BV203),Y T Cheng,D A Hayes,133,1180,9,1:12.00,7.5
HV_2001-1-17_2,4,7.0,MULTI-WINNER (BS149),R Fradd,K W Lui,123,973,8,1:12.10,8.4
HV_2001-1-17_2,5,10.0,SUPER FAIRWAY (BP111),C Williams,D Hill,122,1018,10,1:12.40,29.0
HV_2001-1-17_2,6,3.0,GOLD FLASK (BS221),J Egan,T W Leung,131,1059,2,1:12.40,7.6
HV_2001-1-17_2,7,9.0,MANLEY'S FORTUNE (BS039),K C Tsang,T P Wong,117,1128,7,1:12.90,21.0
HV_2001-1-17_2,8,8.0,CHEETAH (BV041),S King,T P Cheung,122,996,6,1:13.00,2.2
HV_2001-1-17_2,9,2.0,YUE YEE MASTER (BS150),S Dye,Y O Wong,136,1239,1,1:13.00,12.0
HV_2001-1-17_2,10,12.0,SPARKO (BM028),D Bonilla,B Hutchison,115,1105,12,1:13.30,99.0
HV_2001-1-17_2,11,11.0,WORD OF HONOUR (BS183),C H Tse,L Fownes,114,1089,3,1:13.40,83.0
HV_2001-1-17_2,12,5.0,WINNING KING (BV250),W M Lai,D Cruz,127,1021,11,1:14.30,99.0
HV_2001-1-17_3,1,14.0,HOLLYWOOD STAR (BS078),R Fradd,T W Leung,116,947,3,1:42.60,6.3
HV_2001-1-17_3,2,5.0,PARADISE CHASE (BS059),C Brown,G Lane,126,1006,9,1:42.80,15
HV_2001-1-17_3,3,10.0,BEST NEWS (BT177),W C Marwing,A T Millard,120,1080,2,1:42.80,6.1
HV_2001-1-17_3,4,2.0,SINCERELY YOURS (BM225),E Legrix,D Cruz,129,1076,11,1:42.90,43
HV_2001-1-17_3,5,4.0,PROSPEROUS DYNASTY (BT026),S Dye,Y O Wong,127,1017,13,1:43.00,15
HV_2001-1-17_3,6,1.0,SPECTACULAR WIN (BV030),J Egan,T K Ng,130,1068,5,1:43.00,3.3
HV_2001-1-17_3,7,8.0,FURIOSO (BN248),F Coetzee,A S Cruz,123,1076,1,1:43.10,10
HV_2001-1-17_3,8,7.0,TEA FOR YOU (BM138),Y T Cheng,D Cruz,122,1189,12,1:43.20,25
HV_2001-1-17_3,9,9.0,MAJESTIC CONQUEROR (BN052),K C Tsang,K W Lui,117,1094,4,1:43.30,23
HV_2001-1-17_3,10,13.0,THE CHIEF (BT197),C Williams,S T Wong,116,990,7,1:43.60,99
HV_2001-1-17_3,11,3.0,BIG TREASURE (BN164),W Woods,L Fownes,128,1112,8,1:43.70,34
HV_2001-1-17_3,12,11.0,SUPER STAR (BS005),S King,P Chapple-Hyam,119,1109,6,1:44.10,13
HV_2001-1-17_3,13,12.0,CIGAR KING (BS044),D Bonilla,P C Kan,117,988,10,1:44.80,6.5
HV_2001-1-17_3,WV,6.0,FREE AS THE WIND (BS264),K H Ting,T P Cheung,125,---,---,---,---
HV_2001-1-17_4,1,5.0,SOUND GALLOP (BP265),C Brown,T P Wong,119,1087,10,1:51.40,9.9
HV_2001-1-17_4,2,4.0,SEA PEARL (BS262),W Woods,L Fownes,124,1105,5,1:51.40,7.3
HV_2001-1-17_4,3,12.0,GOLDCHIN BEST (BV202),W C Marwing,A T Millard,117,1182,3,1:51.70,2.5
HV_2001-1-17_4,4,14.0,HANDSOME MAN (BS012),K S Yu,T W Leung,114,1020,8,1:52.20,13
HV_2001-1-17_4,5,10.0,CITY FORTUNE (BS181),W M Lai,T K Ng,117,1099,2,1:52.30,38
HV_2001-1-17_4,6,1.0,LION'S SHARE (BP246),F Coetzee,A S Cruz,130,1158,7,1:52.30,27
HV_2001-1-17_4,7,3.0,PRODIGY (BS294),K C Tsang,L Fownes,119,1031,13,1:52.50,17
HV_2001-1-17_4,8,7.0,GRAND PRIZE (BL087),K H Ting,P C Kan,118,1025,1,1:52.70,26
HV_2001-1-17_4,9,2.0,EYE'S MAGIC (CA114),J Egan,L Ho,124,1045,11,1:52.70,16
HV_2001-1-17_4,10,6.0,FORTUNE GLORY (BV011),R Fradd,B Hutchison,118,1063,9,1:52.70,6.2
HV_2001-1-17_4,11,9.0,CHEERS UP (BP244),C Williams,A T Millard,117,999,12,1:52.80,66
HV_2001-1-17_4,12,8.0,SMART MONEY (BV339),D Bonilla,P F Yiu,118,1142,6,1:52.90,99
HV_2001-1-17_4,13,13.0,TREMENDOUS WAY (BN106),S Dye,S T Wong,115,1116,4,1:53.20,9.2
HV_2001-1-17_4,WV,11.0,EMPHASIS (BM155),Y T Cheng,D Oughton,114,---,---,---,---
HV_2001-1-17_5,1,2.0,RANGEELA (BS035),W C Marwing,L Fownes,132,1259,7,1:42.60,9.3
HV_2001-1-17_5,2,13.0,GOLDEN BULLET (BP120),K S Yu,T W Leung,121,1079,8,1:42.70,6.1
HV_2001-1-17_5,3,1.0,LEAD TO WIN (BV081),J Egan,B K Ng,132,1077,10,1:42.90,4.2
HV_2001-1-17_5,4,8.0,SUPER CONQUEROR (BM110),R Fradd,K C Lo,126,1115,5,1:43.00,13.0
HV_2001-1-17_5,5,3.0,TOP FIT (BT074),S Dye,S T Wong,132,1061,1,1:43.30,37.0
HV_2001-1-17_5,6,9.0,OPTIC CHIEF (BV072),E Legrix,L Ho,125,952,2,1:43.70,50.0
HV_2001-1-17_5,7,14.0,MILLENNIUM LEGEND (BV246),K H Ting,P C Kan,117,982,12,1:43.70,5.7
HV_2001-1-17_5,8,4.0,FUN MANAGER (CA044),C Brown,D A Hayes,131,1108,4,1:43.80,4.4
HV_2001-1-17_5,9,10.0,REALLY LUCKY (BS159),S King,K W Lui,125,1064,9,1:43.90,14.0
HV_2001-1-17_5,10,7.0,SING SING SING (BV255),D Bonilla,P F Yiu,128,962,3,1:44.00,99.0
HV_2001-1-17_5,11,6.0,WINNING LUCK (BP227),C Williams,T K Ng,129,1179,13,1:44.10,50.0
HV_2001-1-17_5,12,12.0,RARE COLLECTION (BV102),Y T Cheng,T P Wong,119,1040,6,1:44.50,25.0
HV_2001-1-17_5,13,11.0,UNCONDITIONAL LOVE (BV273),W M Lai,D Oughton,125,952,11,1:44.90,99.0
HV_2001-1-17_5,14,5.0,VIKING DANCER (BV291),K C Tsang,J Moore,125,1135,14,1:45.10,22.0
HV_2001-1-17_6,1,8.0,HEAVY WEAPON (BP154),C H Tse,L Ho,115,1004,6,1:42.40,36.0
HV_2001-1-17_6,2,2.0,TELECOM PRINCE (BP223),C Williams,Y O Wong,129,1121,5,1:42.40,9.6
HV_2001-1-17_6,3,14.0,HIDDEN TALENT (BT117),R Fradd,J Moore,117,1116,12,1:42.50,9.5
HV_2001-1-17_6,4,4.0,SUPER FORCE (BV141),E Legrix,D Cruz,127,946,13,1:42.70,11.0
HV_2001-1-17_6,5,13.0,INVENTOR (BP172),W Woods,L Fownes,119,1109,10,1:42.70,57.0
HV_2001-1-17_6,6,1.0,AMERICAN CHAMPION (BN179),S Dye,D Oughton,131,1024,3,1:42.70,8.1
HV_2001-1-17_6,7,12.0,CHARMING STRIDE (BV325),W M Lai,T K Ng,119,1085,2,1:42.80,8.3
HV_2001-1-17_6,8,10.0,ALL THE BEST (BV211),K S Yu,T P Wong,120,1120,14,1:42.80,23.0
HV_2001-1-17_6,9,6.0,LUCKY GOAL (BP297),C Brown,G Lane,125,1068,9,1:42.90,37.0
HV_2001-1-17_6,10,7.0,LITTLE PLAYTHING (BS082),J Egan,T W Leung,123,1050,7,1:42.90,39.0
HV_2001-1-17_6,11,9.0,THE ESTABLISHMENT (BS127),W C Marwing,A T Millard,121,966,4,1:42.90,33.0
HV_2001-1-17_6,12,3.0,JEWEL BOX (BV024),Y T Cheng,P F Yiu,124,1084,1,1:43.00,7.3
HV_2001-1-17_6,13,5.0,DYNAMIC WINNINGS (BV346),F Coetzee,A S Cruz,126,1096,11,1:43.10,4.2
HV_2001-1-17_6,14,11.0,SIR GALWAY (BP018),G Mosse,P C Kan,121,1116,8,1:43.20,7.4
HV_2001-1-17_7,1,2.0,VICTORY MARBLE (BV275),W C Marwing,P F Yiu,126,1162,8,1:10.90,4.9
HV_2001-1-17_7,2,12.0,SUNNY (BV040),W M Lai,D Cruz,113,1027,2,1:11.00,10.0
HV_2001-1-17_7,3,8.0,CHINA LEGEND (BV330),S Dye,J Moore,119,1054,1,1:11.40,5.5
HV_2001-1-17_7,4,9.0,EASY STAR (BS056),K C Tsang,A T Millard,114,1160,3,1:11.40,31.0
HV_2001-1-17_7,5,3.0,JIMMY THE GREEK (BV047),J Egan,B Hutchison,125,1040,4,1:11.50,7.5
HV_2001-1-17_7,6,7.0,CHATER JADE (BV063),R Fradd,G Lane,120,1122,6,1:11.50,5.0
HV_2001-1-17_7,7,11.0,MY FRIENDS SAY (BP220),K S Yu,T W Leung,116,1078,12,1:11.90,39.0
