day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2012-1-11_1,1,5.0,LUCKY RED (CJ059),W M Lai,T K Ng,125,1142,3,1 1 1,0:57.53,15.0
HV_2012-1-11_1,2,11.0,VITAL SMART (M104),O Doleuze,C W Chang,120,1237,2,5 3 2,0:57.64,10.0
HV_2012-1-11_1,3,12.0,GOOD SMILE (CK360),Y T Cheng,L Ho,114,1128,1,2 2 3,0:57.65,4.8
HV_2012-1-11_1,4,10.0,SHANGHAI PIONEER (CL252),B Doyle,T W Leung,120,1014,8,8 6 4,0:57.84,6.5
HV_2012-1-11_1,5,7.0,BEAR EXPRESS (M351),G Cheyne,D J Hall,124,1062,7,10 9 5,0:57.88,13.0
HV_2012-1-11_1,6,1.0,HAPPY CHAMPION (N027),H W Lai,P F Yiu,131,1084,10,9 8 6,0:57.89,5.0
HV_2012-1-11_1,7,2.0,SUPREME DE UNION (CK349),N Callan,D E Ferraris,132,1230,12,12 10 7,0:57.96,10.0
HV_2012-1-11_1,8,9.0,LUCKY FAMILY (M221),C K Tong,K W Lui,119,1059,6,7 7 8,0:57.99,79.0
HV_2012-1-11_1,9,4.0,SPICY SHRIMP (CL067),T H So,B K Ng,124,1132,9,3 5 9,0:58.06,8.9
HV_2012-1-11_1,10,3.0,GOLD WINNER (CK139),D Beadman,C S Shum,129,1095,11,11 12 10,0:58.36,9.0
HV_2012-1-11_1,11,6.0,CITY OF LIGHTS (N161),T Angland,C Fownes,126,1044,5,6 4 11,0:58.62,15.0
HV_2012-1-11_1,12,8.0,GALLANT MAMBO (M216),J Lloyd,A T Millard,123,1243,4,4 11 12,1:00.38,37.0
HV_2012-1-11_2,1,2.0,BEST NOODLE (CJ278),G Mosse,L Ho,131,1108,9,6 5 5 5 1,1:51.06,24.0
HV_2012-1-11_2,2,6.0,INDUSTRIAL LEGEND (CL186),Z Purton,C H Yip,128,1003,12,9 12 12 12 2,1:51.17,15.0
HV_2012-1-11_2,3,12.0,KUNG HEI FAT CHOI (CL157),G Cheyne,R Gibson,114,1136,6,8 8 7 4 3,1:51.28,7.6
HV_2012-1-11_2,4,11.0,MEDIC CHAMPION (M054),K C Leung,P O'Sullivan,112,1261,11,10 10 10 9 4,1:51.34,14.0
HV_2012-1-11_2,5,10.0,MASTER DRAGON (CL137),Y T Cheng,B K Ng,123,1027,7,3 3 3 2 5,1:51.46,11.0
HV_2012-1-11_2,6,4.0,MEDIC FORTUNE (CK057),C Y Ho,A T Millard,126,1020,3,4 4 4 6 6,1:51.51,4.6
HV_2012-1-11_2,7,7.0,AMAZING VENTURE (CJ039),J Lloyd,D E Ferraris,127,1052,4,11 9 9 10 7,1:51.54,15.0
HV_2012-1-11_2,8,8.0,MEGA CASTLE (CL333),O Doleuze,K L Man,126,1105,10,2 2 2 3 8,1:51.56,6.3
HV_2012-1-11_2,9,1.0,SABINA (CK169),T Angland,A Lee,133,1183,8,12 11 11 11 9,1:51.73,9.1
HV_2012-1-11_2,10,9.0,DAILY DOUBLE (CK043),B Doyle,T W Leung,125,1087,5,7 7 8 7 10,1:51.83,13.0
HV_2012-1-11_2,11,5.0,HEALTHY CONTENDER (CJ342),T Clark,D Cruz,129,1267,2,5 6 6 8 11,1:51.91,10.0
HV_2012-1-11_2,12,3.0,GOLDEN BOY (CJ263),D Beadman,C W Chang,131,1219,1,1 1 1 1 12,1:54.66,9.7
HV_2012-1-11_3,1,6.0,NOBLE DE BEST (CJ160),T Angland,K L Man,129,1053,10,9 9 9 1,1:41.14,8.8
HV_2012-1-11_3,2 DH,8.0,EASY GOLD (CL431),O Doleuze,R Gibson,127,1169,4,6 6 6 2,1:41.31,3.1
HV_2012-1-11_3,2 DH,11.0,JUGGERNAUT (CJ019),M Du Plessis,S Woods,117,1243,2,3 4 2 2,1:41.31,8.5
HV_2012-1-11_3,4,1.0,JOYFUL WINNER II (M094),D Beadman,J Moore,133,1009,1,4 3 4 4,1:41.48,7.0
HV_2012-1-11_3,5,9.0,YUAN'S FORTUNE (CL021),J Lloyd,Y S Tsui,125,1075,11,11 11 11 5,1:41.49,33.0
HV_2012-1-11_3,6,10.0,EL GRANDE (CL378),C Y Ho,D J Hall,116,1054,8,2 2 3 6,1:41.65,9.5
HV_2012-1-11_3,7,2.0,COMMON GOAL (M167),H W Lai,T W Leung,129,1141,12,12 12 12 7,1:41.66,17.0
HV_2012-1-11_3,8,7.0,LIFE OF BEAUTY (M022),G Mosse,A S Cruz,128,1096,3,8 8 8 8,1:41.86,18.0
HV_2012-1-11_3,9,4.0,EMPIRE CITY (CL169),T Clark,A Schutz,130,1126,6,5 5 5 9,1:41.92,35.0
HV_2012-1-11_3,10,5.0,EASY AHEAD (CK212),T H So,L Ho,124,1131,5,1 1 1 10,1:41.95,8.0
HV_2012-1-11_3,11,12.0,SURE FORWARD (CK325),K C Leung,D Cruz,113,1064,9,10 10 10 11,1:42.09,13.0
HV_2012-1-11_3,12,3.0,ELEPHANT CHEERS (M247),W M Lai,T K Ng,128,1059,7,7 7 7 12,1:42.22,19.0
HV_2012-1-11_4,1,7.0,GREAT RENOWN (CK359),G Mosse,R Gibson,123,1076,7,8 8 8 1,1:40.67,3.1
HV_2012-1-11_4,2,2.0,ALWAYS SOMETHING (CK288),T Angland,A S Cruz,131,1100,12,12 12 11 2,1:40.74,21.0
HV_2012-1-11_4,3,4.0,MY MATE ADRIC (CL004),T Clark,K L Man,130,1145,11,2 2 2 3,1:40.96,38.0
HV_2012-1-11_4,4,9.0,KICK SERVE (CL385),J Lloyd,C W Chang,120,1097,4,7 6 6 4,1:41.09,7.3
HV_2012-1-11_4,5,3.0,FLUKE (CJ061),T H So,L Ho,126,1125,1,4 4 3 5,1:41.22,17.0
HV_2012-1-11_4,6,1.0,UPGRADING (CK367),C Y Ho,A Schutz,128,1013,5,9 9 9 6,1:41.26,19.0
HV_2012-1-11_4,7,10.0,FLORA DANICA (M064),M Du Plessis,J Size,118,1109,10,1 1 1 7,1:41.27,14.0
HV_2012-1-11_4,8,11.0,JUN HUA (CL222),C W Wong,D J Hall,114,1018,6,3 3 4 8,1:41.35,12.0
HV_2012-1-11_4,9,5.0,PLENTIFUL (CK319),Z Purton,P F Yiu,126,1079,8,10 10 10 9,1:41.41,2.8
HV_2012-1-11_4,10,12.0,PEGASUS SUPREME (CL286),H W Lai,K W Lui,113,1088,3,6 7 7 10,1:41.41,45.0
HV_2012-1-11_4,11,6.0,SUPER BRAND (M155),D Beadman,J Moore,124,1010,2,5 5 5 11,1:41.80,19.0
HV_2012-1-11_4,12,8.0,AMAZING BREEDERS (M379),G Cheyne,D E Ferraris,120,1032,9,11 11 12 12,1:42.71,99.0
HV_2012-1-11_5,1,7.0,MENTOR (N017),D Beadman,J Size,125,1129,3,4 4 1,1:10.84,2.8
HV_2012-1-11_5,2,5.0,GREEN ZONE (M302),C Y Ho,C Fownes,123,1263,6,1 1 2,1:10.92,5.5
HV_2012-1-11_5,3,1.0,CHINA POWER (M400),Z Purton,P F Yiu,133,1096,7,2 2 3,1:10.96,19.0
HV_2012-1-11_5,4,10.0,CHATER POWER (CG312),J Lloyd,D E Ferraris,119,1201,4,5 6 4,1:11.01,10.0
HV_2012-1-11_5,5,11.0,FLASHING GUY (CL158),T Clark,K L Man,119,1043,12,3 3 5,1:11.03,47.0
HV_2012-1-11_5,6,8.0,MAKE IT (CL139),K C Leung,T W Leung,119,1092,10,9 9 6,1:11.04,17.0
HV_2012-1-11_5,7,2.0,GLENEALY STAR (CH284),T Angland,C H Yip,130,1079,9,7 5 7,1:11.07,16.0
HV_2012-1-11_5,8,6.0,FOREVER ELATION (CK215),G Cheyne,A Schutz,127,1093,2,10 10 8,1:11.08,20.0
HV_2012-1-11_5,9,3.0,DANEWIN WINNING (M405),G Mosse,A S Cruz,128,1216,1,6 7 9,1:11.20,3.6
HV_2012-1-11_5,10,9.0,KIDCONI (M363),O Doleuze,R Gibson,120,1151,8,12 12 10,1:11.33,31.0
HV_2012-1-11_5,11,12.0,STAR OF FAME (CH043),B Doyle,A T Millard,117,1146,5,8 8 11,1:11.34,56.0
