day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
ST_2000-1-15_1,1,8.0,NORTHERN GOLD BALL (BV008),K S Yu,T P Wong,125,1023,7,1:11.50,9.2
ST_2000-1-15_1,2,3.0,CONNOISSEUR'S BET (BV104),F Sanchez,D Oughton,125,1046,9,1:12.00,2.2
ST_2000-1-15_1,3,1.0,BOLD MOVER (BV056),K Fallon,I W Allan,125,1131,8,1:12.00,12.0
ST_2000-1-15_1,4,2.0,CENTURY STAR (BV005),D Harrison,S T Wong,125,1016,5,1:12.10,4.4
ST_2000-1-15_1,5,6.0,GOLDEN WARRIOR (BV049),D Whyte,I W Allan,125,1042,4,1:12.40,22.0
ST_2000-1-15_1,6,4.0,FLIGHT OF FANCY (BV069),R Fradd,L Fownes,125,1047,1,1:12.40,33.0
ST_2000-1-15_1,7,7.0,HOI POLLOI (BV012),D Boeuf,S T Wong,125,905,2,1:12.60,79.0
ST_2000-1-15_1,8,10.0,WINNING STAR (BV120),E Saint-Martin,L Ho,125,1026,3,1:12.80,56.0
ST_2000-1-15_1,9,9.0,TRUSTY STEED (BV004),C W Mok,T P Wong,118,1112,6,1:13.00,11.0
ST_2000-1-15_1,10,5.0,GALAPAGOS (BV113),B Marcus,I W Allan,125,1118,10,1:13.20,6.1
ST_2000-1-15_10,1,7.0,BASIC INSTINCT (BM020),W M Lai,T K Ng,124,1177,13,1:10.60,10.0
ST_2000-1-15_10,2,3.0,PLENTY-PLENTY (BS191),D Boeuf,I W Allan,127,1194,4,1:10.60,13.0
ST_2000-1-15_10,3,11.0,HAPPY MONIES (BP197),C P Ting,L Ho,111,1167,8,1:10.70,43.0
ST_2000-1-15_10,4,8.0,PRANCING HORSE (BT052),G Boss,A T Millard,124,1126,11,1:10.80,5.3
ST_2000-1-15_10,5,1.0,RED ZONE (BP304),D Whyte,B Hutchison,133,1059,1,1:10.80,3.3
ST_2000-1-15_10,6,14.0,MISSION SEALED (BN100),C T Cheng,T P Cheung,106,1114,2,1:10.90,40.0
ST_2000-1-15_10,7,12.0,KING OF TOYS (BS074),J Quinn,P C Kan,116,1124,6,1:11.00,8.6
ST_2000-1-15_10,8,13.0,COSMO ONE (BS018),Y T Cheng,K C Lo,104,1075,5,1:11.00,20.0
ST_2000-1-15_10,9,6.0,EASTERN MAGNATE (BS148),B Marcus,D A Hayes,125,1118,10,1:11.00,7.1
ST_2000-1-15_10,10,9.0,BEAS GLORY (BP046),E Legrix,P Chapple-Hyam,123,1045,12,1:11.10,13.0
ST_2000-1-15_10,11,5.0,LOMOND'S FAY (BP303),C W Mok,T P Wong,119,1012,7,1:11.30,22.0
ST_2000-1-15_10,12,10.0,DESTINATION (BS113),K S Yu,A S Cruz,122,1146,14,1:11.50,37.0
ST_2000-1-15_10,13,4.0,TELECOM CHIEF (BS098),K H Ting,Y O Wong,127,1152,3,1:11.50,56.0
ST_2000-1-15_10,14,2.0,FASTER MOUNT (BS105),P Smullen,S T Wong,129,1020,9,1:11.60,22.0
ST_2000-1-15_2,1,3.0,KINLING SUPERSTAR (BP037),E Saint-Martin,L Ho,122,1102,2,1:07.90,3.2
ST_2000-1-15_2,2,2.0,BEIJING STAR (BN169),D Harrison,P Chapple-Hyam,122,1073,6,1:08.00,15.0
ST_2000-1-15_2,3,8.0,LUCKY GLORY (BL117),D Whyte,B Hutchison,116,1187,4,1:08.10,6.8
