day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2003-1-15_1,1,10.0,HANDSOME MAN (BS012),E Saint-Martin,T W Leung,121,1042,1,1:42.20,5.9
HV_2003-1-15_1,2,3.0,MILLENNIUM LEGEND (BV246),S Dye,C H Yip,128,1044,3,1:42.30,3.9
HV_2003-1-15_1,3,6.0,FORTUNE GLORY (BV011),H K Yim,D Hill,127,1107,5,1:42.40,8.5
HV_2003-1-15_1,4,1.0,LEAD TO WIN (BV081),E Legrix,B K Ng,129,1112,11,1:42.40,15.0
HV_2003-1-15_1,5,5.0,EXPRESS LOT (BT188),G Mosse,D A Hayes,127,1136,10,1:42.50,15.0
HV_2003-1-15_1,6,2.0,SWEETIE (CB036),G Schofield,L Ho,129,1029,7,1:42.50,4.1
HV_2003-1-15_1,7,9.0,OH GREAT (CB288),F Coetzee,G Lane,123,1063,2,1:42.60,36.0
HV_2003-1-15_1,8,11.0,GOOD BROTHER (CB084),J Spencer,K L Man,119,999,9,1:42.60,30.0
HV_2003-1-15_1,9,12.0,TWIN WIZARDS (CA205),D Dunn,J Size,115,1139,8,1:42.60,22.0
HV_2003-1-15_1,10,4.0,TIM'S TONIC (BV324),D Whyte,Y O Wong,128,1092,12,1:42.70,25.0
HV_2003-1-15_1,11,7.0,MISSION POSSIBLE (CA070),A Suborics,D Cruz,126,1069,4,1:42.80,7.3
HV_2003-1-15_1,12,8.0,BUTTERFORD (CA382),C Williams,K W Lui,124,1137,6,1:43.60,45.0
HV_2003-1-15_2,1,11.0,CLASSIC CHOICE (BV050),G Schofield,S Woods,114,1035,8,1:42.60,7.0
HV_2003-1-15_2,2,9.0,PLEASANT SUCCESS (CA164),R Fradd,P F Yiu,116,1055,12,1:42.90,44.0
HV_2003-1-15_2,3,5.0,WINNING FIESTA (CC043),J Spencer,J Moore,124,1032,9,1:43.10,97.0
HV_2003-1-15_2,4,3.0,WHATA FEELING (CB267),G Mosse,D A Hayes,125,1032,1,1:43.10,5.4
HV_2003-1-15_2,5,4.0,MILLENNIUM SUPREME (BV228),F Coetzee,A S Cruz,124,1171,11,1:43.20,13.0
HV_2003-1-15_2,6,6.0,METRO TRAVELLER (BT168),C Soumillon,L Fownes,123,1149,6,1:43.40,3.2
HV_2003-1-15_2,7,12.0,TAMBORA STAR (BS097),S K Sit,P Chapple-Hyam,113,1145,4,1:43.50,33.0
HV_2003-1-15_2,8,7.0,ROMANTIC VENTURE (BS233),D Whyte,G Lane,119,1067,3,1:43.60,5.7
HV_2003-1-15_2,9,10.0,UNIVERSAL PEGASUS (CA135),C Williams,Y O Wong,114,1128,2,1:43.70,99.0
HV_2003-1-15_2,10,1.0,LONGMARK (BT294),W C Marwing,T K Ng,132,1126,5,1:43.80,4.7
HV_2003-1-15_2,11,2.0,GOOD FRIENDS (BV213),E Legrix,B K Ng,130,1135,10,1:43.90,41.0
HV_2003-1-15_2,12,8.0,TOP QUALITY (BT212),S Dye,C H Yip,115,1109,7,1:44.60,61.0
HV_2003-1-15_3,1,12.0,HIGHLIGHT (BT192),M W Leung,L Ho,108,1046,11,1:41.60,48
HV_2003-1-15_3,2,11.0,ACE ACADEMY (BT215),S Dye,J Size,113,1084,2,1:41.80,8.4
HV_2003-1-15_3,3,1.0,GOLDEN SPIRIT (CA215),G Mosse,K W Lui,131,1048,12,1:41.90,10
HV_2003-1-15_3,4,9.0,SMART WIN (CA372),A Suborics,P C Kan,118,997,9,1:42.10,6.3
HV_2003-1-15_3,5,6.0,SKY HAWK (BS070),C Soumillon,J Moore,120,952,5,1:42.10,4.9
HV_2003-1-15_3,6,3.0,ELITE WIN (CA300),D Whyte,T K Ng,126,1094,7,1:42.20,2.7
HV_2003-1-15_3,7,2.0,DE INTEGRO (BS079),P Smullen,P Chapple-Hyam,127,1085,3,1:42.40,19
HV_2003-1-15_3,8,10.0,GUSCOTT (BS207),Y T Cheng,B K Ng,115,1113,6,1:42.60,22
HV_2003-1-15_3,9,7.0,L'ENFANT (CB025),E Legrix,D Oughton,119,1087,1,1:43.70,36
HV_2003-1-15_3,10,4.0,LASER PRIDE (BS277),R Fradd,K L Man,125,1132,8,1:44.70,17
HV_2003-1-15_3,11,8.0,SHOW BRAVELY (CB388),S K Sit,P F Yiu,118,1083,10,1:45.00,15
