day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2005-1-12_1,1,7.0,HIGHLAND DAWN (CC138),C Soumillon,J Moore,124,1062,6,1:11.20,7.1
HV_2005-1-12_1,2,9.0,EVEREST (CC196),C Williams,C Fownes,121,1084,2,1:11.30,5.3
HV_2005-1-12_1,3,5.0,MASTER YING (CB249),W M Lai,T K Ng,127,1157,8,1:11.70,4.8
HV_2005-1-12_1,4,12.0,HONOURABLE (CB221),H K Yim,D Hill,114,1070,5,1:11.80,42.0
HV_2005-1-12_1,5,3.0,ASIA RISING (BT270),D Holland,T W Leung,128,1113,1,1:12.10,12.0
HV_2005-1-12_1,6,1.0,HAPPY TOGETHER (CC218),M Rodd,A T Millard,131,1142,11,1:12.20,29.0
HV_2005-1-12_1,7,2.0,SAND DANCE (CD022),D Whyte,J Size,130,1157,9,1:12.30,7.2
HV_2005-1-12_1,8,10.0,GOLDEN GALLOPER (CD268),B Prebble,K W Lui,118,1198,10,1:12.40,17.0
HV_2005-1-12_1,9,4.0,ATHLETIC GOLD (CC241),S Sanders,S Woods,127,949,7,1:12.90,19.0
HV_2005-1-12_1,10,8.0,MILLION CHASE (CD132),P H Lo,K L Man,117,1082,12,1:13.20,15.0
HV_2005-1-12_1,11,6.0,LUCKY TRIO (CB199),A Delpech,D J Hall,126,1136,4,1:14.00,27.0
HV_2005-1-12_1,PU,11.0,MELOS (CD032),E Saint-Martin,C H Yip,118,1138,3,---,5.3
HV_2005-1-12_2,1,6.0,LA MERVEILLE (CC205),F Coetzee,K W Lui,125,1062,11,1:41.70,5.4
HV_2005-1-12_2,2,10.0,SOARING ANGEL (CC360),S K Sit,D E Ferraris,121,1159,5,1:41.70,14.0
HV_2005-1-12_2,3,1.0,FORTUNE LAD (CB279),R Fradd,D Oughton,130,1149,10,1:41.80,4.9
HV_2005-1-12_2,4,11.0,GREAT KID (CB206),S Sanders,L Ho,119,1039,1,1:42.10,7.7
HV_2005-1-12_2,5,2.0,OH GREAT (CB288),G Mosse,A Lee,130,1064,7,1:42.10,15.0
HV_2005-1-12_2,6,5.0,GOOD FRIENDS (BV213),M W Leung,B K Ng,126,1162,3,1:42.10,27.0
HV_2005-1-12_2,7,3.0,A BETTER DRAGON (CC329),D Whyte,K L Man,129,1101,6,1:42.30,3.9
HV_2005-1-12_2,8,12.0,ASIA STAR (CA264),C K Tong,S Woods,104,1146,4,1:42.40,30.0
HV_2005-1-12_2,9,8.0,ETERNAL FUN (BT276),E Saint-Martin,D Hill,122,1173,8,1:42.50,18.0
HV_2005-1-12_2,10,4.0,DANEFACTOR (CA006),S Dye,P O'Sullivan,129,1165,2,1:43.30,7.1
HV_2005-1-12_2,11,9.0,SAMMY TREASURE (CA324),C Williams,Y O Wong,121,1137,9,1:43.60,47.0
HV_2005-1-12_2,12,7.0,SHANGHAI DELIGHT (CC352),H K Yim,T W Leung,123,1110,12,1:45.20,54.0
HV_2005-1-12_3,1,11.0,CHAMP DE UNION (CB001),G Schofield,D E Ferraris,119,1060,7,1:11.30,20
HV_2005-1-12_3,2,1.0,HEALTHY FRUITS (CC193),D Whyte,K L Man,132,1029,2,1:11.30,3.4
HV_2005-1-12_3,3,6.0,FORTUNE WARRIOR (CD096),E Saint-Martin,T W Leung,125,1027,4,1:11.40,3.9
HV_2005-1-12_3,4,10.0,AUSPICIOUS ODYSSEY (CC373),D Holland,C S Shum,119,1115,1,1:11.50,6.3
HV_2005-1-12_3,5,7.0,ISLAND SPIRIT (CD014),A Delpech,B K Ng,122,1104,6,1:11.60,8
HV_2005-1-12_3,6,3.0,TRUST ME (CA144),C Williams,P F Yiu,130,1046,3,1:11.70,21
HV_2005-1-12_3,7,2.0,SALUT BEAUTE (CB189),P H Lo,D A Hayes,124,1066,10,1:11.80,26
HV_2005-1-12_3,8,4.0,SIGHT CHAMPION (CC151),R Fradd,C Fownes,129,1141,5,1:11.80,7.3
HV_2005-1-12_3,9,12.0,KE JIA WANG (CD049),H W Lai,L Ho,103,1098,8,1:12.00,18
HV_2005-1-12_3,10,9.0,HORACE'S HORSE (CB043),S Sanders,S Woods,120,1117,9,1:12.20,35
HV_2005-1-12_3,11,5.0,AMBITION (CC079),M Rodd,K W Lui,128,1087,11,1:12.40,44
HV_2005-1-12_3,12,8.0,JET RISE (CD346),Y T Cheng,C H Yip,114,1004,12,1:13.20,99
HV_2005-1-12_3,WV,,TURF GOLD (CD342),---,D J Hall,121,---,---,---,---
HV_2005-1-12_4,1,9.0,SUNNY DESERT (CB346),D Whyte,T W Leung,121,1036,6,1:42.00,4.4
HV_2005-1-12_4,2,4.0,RAINBOW DIAMOND (CD183),R Fradd,K L Man,126,1125,2,1:42.10,5.4
HV_2005-1-12_4,3,6.0,GLORIOUS RHYTHM (CC163),E Saint-Martin,C H Yip,125,1032,7,1:42.20,4.0
HV_2005-1-12_4,4,5.0,COULDN'T CARE LESS (CD009),D Holland,C S Shum,125,1067,4,1:42.30,8.9
HV_2005-1-12_4,5,11.0,ON SHAN EXPRESS (CB362),W M Lai,A Lee,117,1157,3,1:42.30,14.0
HV_2005-1-12_4,6,3.0,FOREVER WIN (CC069),F Coetzee,K W Lui,129,1142,5,1:42.40,7.5
HV_2005-1-12_4,7,10.0,CENAMIRA (CD129),K S Yu,Y O Wong,118,1154,9,1:42.50,99.0
HV_2005-1-12_4,8,2.0,TELECOM SUPERBOSS (CD180),G Schofield,L Ho,131,1094,8,1:42.60,7.5
HV_2005-1-12_4,9,1.0,SEASONS KNACK (CC242),S Sanders,D Hill,133,1264,11,1:42.70,41.0
HV_2005-1-12_4,10,12.0,BAUHINIA (CD118),S K Sit,S Woods,115,1014,1,1:43.00,58.0
HV_2005-1-12_4,11,7.0,DESERT STRIKE (CB054),A Delpech,D E Ferraris,124,1089,12,1:43.50,40.0
HV_2005-1-12_4,12,8.0,JOYWIN COMBINATION (CD332),B Prebble,C Fownes,122,1089,10,1:44.10,30.0
HV_2005-1-12_5,1,1.0,FORTUNE BOY (CC378),G Mosse,D Cruz,132,1193,1,1:41.80,8.6
HV_2005-1-12_5,2,3.0,SHINING DRAGON (CC181),H W Lai,S Woods,119,971,9,1:42.00,11.0
HV_2005-1-12_5,3,2.0,SPEEDING MOLLY (CC227),C K Tong,P O'Sullivan,121,972,10,1:42.10,54.0
HV_2005-1-12_5,4,5.0,OPERA MAGIC (CB404),E Saint-Martin,C H Yip,124,1114,5,1:42.10,11.0
HV_2005-1-12_5,5,6.0,KING OF FIELD (CC195),C Williams,K W Lui,122,1018,4,1:42.10,10.0
HV_2005-1-12_5,6,8.0,KING OF SPADES (CC056),W M Lai,T K Ng,118,1040,6,1:42.10,14.0
HV_2005-1-12_5,7,11.0,LOK WAH SUCCESS (CB408),D Whyte,K L Man,117,1057,2,1:42.20,3.2
HV_2005-1-12_5,8,7.0,PRO JOY (CD160),R Fradd,A Lee,119,1051,8,1:42.20,14.0
HV_2005-1-12_5,9,12.0,CAPABEL (CD195),M W Leung,C S Shum,110,1040,3,1:42.30,21.0
HV_2005-1-12_5,10,4.0,FLYING KENNY (CC244),D Holland,T W Leung,128,1122,11,1:42.60,9.8
